,Country,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air temperature (¡C),Air temperature (¡F),Tg_h (¡C),Tg_h (¡F),Humidity preference,Air velocity (fpm),Subject«s height (cm),Subject«s weight (kg),Fan,Window,Door,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
66,Malaysia,0.78,1.0,70.0,,25283,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,30.2,86.4,,,,,,,,,,28.5,83.3,Database 2
67,Malaysia,0.83,1.0,70.0,,25284,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,1.0,,,30.2,86.4,,,,,,,,,,28.5,83.3,Database 2
68,Malaysia,0.82,1.0,69.0,,25285,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,1.0,,,29.0,84.2,,,,,,,,,,28.5,83.3,Database 2
69,Malaysia,0.94,1.0,69.0,,25286,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,1.0,,,29.0,84.2,,,,,,,,,,28.5,83.3,Database 2
70,Malaysia,0.63,1.0,69.0,,25287,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,29.0,84.2,,,,,,,,,,28.0,82.4,Database 2
71,Malaysia,0.78,1.2,72.0,,25288,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,2.0,,,29.0,84.2,,,,,,,,,,28.0,82.4,Database 2
72,Malaysia,0.52,1.2,72.0,,25289,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,2.0,,,28.4,83.1,,,,,,,,,,28.0,82.4,Database 2
73,Malaysia,0.73,1.1,72.0,,25290,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,0.0,,,28.8,83.8,,,,,,,,,,28.0,82.4,Database 2
74,Malaysia,0.61,1.0,72.0,,25291,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,2.0,,,29.6,85.3,,,,,,,,,,28.0,82.4,Database 2
75,Malaysia,0.6,1.2,72.0,,25292,,Djamila,2014.0,Summer,Af,Tropical rainforest,Kota Kinabalu,Others,Air Conditioned,,1.0,,,29.6,85.3,,,,,,,,,,28.0,82.4,Database 2
