,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,Air temperature (¡C),Air temperature (¡F),Tg_h (¡C),Tg_h (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
202,Philippines,0.2,5.0,25.31,0.39,1.4,52.6,0.1,20924,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0.0,1.0,cooler,1.0,no change,4.0,24.2,75.6,24.3,75.7,19.19,25.9,78.6,Database 2
203,Philippines,0.1,5.0,25.68,0.76,1.1,51.7,0.1,20925,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,1.0,1.0,cooler,1.0,no change,5.0,24.3,75.7,24.0,75.1,19.25,25.9,78.6,Database 2
204,Philippines,0.3,7.0,27.07,0.56,1.6,55.3,0.13,20926,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0.0,1.0,no change,1.0,no change,5.0,23.6,74.5,23.1,73.6,26.45,25.9,78.6,Database 2
205,Philippines,-0.3,7.0,24.08,0.55,1.3,55.5,0.13,20927,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,1.0,no change,1.0,no change,6.0,23.2,73.8,22.6,72.7,26.45,25.9,78.6,Database 2
206,Philippines,0.5,10.0,27.32,0.78,1.3,44.2,0.1,20928,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,1.0,no change,1.0,no change,4.0,24.0,75.2,24.5,76.1,19.19,25.9,78.6,Database 2
207,Philippines,-0.2,6.0,24.36,0.56,1.3,44.1,0.11,20929,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1.0,1.0,no change,1.0,no change,4.0,23.7,74.6,22.9,73.3,22.08,25.9,78.6,Database 2
208,Philippines,-0.2,6.0,24.44,0.8,1.2,44.6,0.24,20930,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,1.0,no change,1.0,no change,6.0,23.3,73.9,23.1,73.5,46.75,25.9,78.6,Database 2
209,Philippines,0.0,5.0,25.14,0.5,1.5,46.6,0.15,20931,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,1.0,1.0,cooler,1.0,no change,5.0,22.6,72.7,23.1,73.6,28.85,25.9,78.6,Database 2
210,Philippines,-0.1,5.0,24.27,0.65,1.5,43.9,0.3,20932,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,1.0,warmer,1.0,more,5.0,23.1,73.6,23.0,73.3,59.79,25.9,78.6,Database 2
211,Philippines,-0.2,6.0,24.72,0.78,1.1,45.4,0.11,20933,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003.0,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2.0,1.0,no change,1.0,no change,5.0,23.2,73.7,23.0,73.4,22.58,25.9,78.6,Database 2
