,Country,Clo,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal comfort,Air temperature (¡C),Air temperature (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
35,China,0.41,55.1,0.17,15712,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,3.0,26.8,80.2,34.12,22.0,72.0,Database 2
36,China,0.83,50.6,0.06,15713,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,5.0,27.5,81.5,11.81,22.0,72.0,Database 2
37,China,0.27,49.8,0.28,15714,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,5.0,28.8,83.9,55.77,22.0,72.0,Database 2
38,China,0.38,45.9,0.17,15715,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,1.0,5.0,28.5,83.3,34.12,22.0,72.0,Database 2
39,China,0.38,48.7,0.01,15716,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,-1.0,5.0,25.7,78.3,2.62,22.0,72.0,Database 2
40,China,0.25,48.7,0.01,15717,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,3.0,25.7,78.3,1.97,22.0,72.0,Database 2
41,China,0.26,57.1,0.66,15718,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,-1.0,3.0,27.4,81.3,130.58,22.0,72.0,Database 2
42,China,0.49,55.0,0.23,15719,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,5.0,27.5,81.5,45.93,22.0,72.0,Database 2
43,China,0.25,84.4,0.06,15720,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,2.0,5.0,27.2,81.0,12.47,22.0,72.0,Database 2
44,China,0.55,58.8,0.04,15721,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,0.0,5.0,25.7,78.3,8.53,22.0,72.0,Database 2
45,China,0.43,58.8,0.04,15722,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,2.0,3.0,25.7,78.3,8.53,22.0,72.0,Database 2
46,China,0.46,58.8,0.04,15723,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,1.0,5.0,25.7,78.3,8.53,22.0,72.0,Database 2
47,China,0.47,63.8,0.24,15724,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,-2.0,5.0,26.8,80.2,46.59,22.0,72.0,Database 2
48,China,0.41,63.8,0.24,15725,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,1.0,5.0,26.8,80.2,46.59,22.0,72.0,Database 2
49,China,0.55,63.8,0.24,15726,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,3.0,26.8,80.2,46.59,22.0,72.0,Database 2
50,China,0.49,63.8,0.24,15727,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,5.0,26.8,80.2,46.59,22.0,72.0,Database 2
51,China,0.49,63.8,0.24,15728,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,1.0,5.0,26.8,80.2,46.59,22.0,72.0,Database 2
52,China,0.38,63.8,0.24,15729,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,1.0,5.0,26.8,80.2,46.59,22.0,72.0,Database 2
53,China,0.31,58.8,0.04,15730,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,1.0,2.0,25.7,78.3,8.53,22.0,72.0,Database 2
54,China,0.1,84.4,0.06,15731,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,0.0,3.0,27.2,81.0,12.47,22.0,72.0,Database 2
55,China,0.37,84.4,0.06,15732,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,0.0,5.0,27.2,81.0,12.47,22.0,72.0,Database 2
