,Country,Clo,Met,Relative humidity (%),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal preference,Thermal comfort,Air temperature (¡C),Air temperature (¡F),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
40,Japan,0.34,,72.8,40,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,0.0,cooler,3.0,26.9,80.5,18.0,64.4,Database 2
41,Japan,0.34,,72.8,41,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-2.0,warmer,2.0,26.9,80.5,18.0,64.4,Database 2
42,Japan,0.56,,72.8,42,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-1.0,cooler,3.0,26.9,80.5,18.0,64.4,Database 2
43,Japan,0.24,,72.8,43,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-2.0,no change,4.0,26.9,80.5,18.0,64.4,Database 2
44,Japan,0.69,,72.8,44,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-2.0,no change,3.0,26.9,80.5,18.0,64.4,Database 2
45,Japan,0.46,,72.8,45,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-1.0,no change,3.0,26.9,80.5,18.0,64.4,Database 2
46,Japan,0.39,,72.8,46,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,-2.0,warmer,4.0,26.9,80.5,18.0,64.4,Database 2
47,Japan,0.52,,72.8,47,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,2.0,cooler,3.0,26.9,80.5,18.0,64.4,Database 2
48,Japan,0.34,,72.8,48,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,2.0,cooler,2.0,26.9,80.5,18.0,64.4,Database 2
49,Japan,0.42,,72.8,49,"Kwok, Alison G., and Chungyoon Chun. ""Thermal comfort in Japanese schools.""ÊSolar EnergyÊ74.3 (2003): 245-252.",Kwok Alison,2000.0,Autumn,Cfa,Humid subtropical,Tokyo,Classroom,Naturally Ventilated,2.0,cooler,3.0,26.9,80.5,18.0,64.4,Database 2
