,Country,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal preference,Air temperature (¡C),Air temperature (¡F),Air velocity (fpm),Blind (curtain),Window,Door,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
32,Germany,0.51,1.4,32.3,0.04,74277,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,24.0,75.2,7.87,0.0,1.0,1.0,22.5,72.5,Database 2
33,Germany,0.61,1.2,30.9,3.59,74278,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,23.6,74.5,706.62,0.0,1.0,0.0,22.5,72.5,Database 2
34,Germany,0.64,1.0,29.7,2.42,74279,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,1.0,cooler,23.2,73.8,476.33,0.0,0.0,0.0,22.5,72.5,Database 2
35,Germany,0.56,1.4,30.5,2.57,74280,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,1.0,cooler,23.9,75.0,505.85,0.0,0.0,0.0,22.5,72.5,Database 2
36,Germany,0.54,1.4,29.4,0.21,74281,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,24.0,75.2,41.33,0.0,0.0,1.0,22.5,72.5,Database 2
37,Germany,0.59,1.2,30.5,2.57,74282,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,1.0,cooler,23.9,75.0,505.85,0.0,0.0,0.0,22.5,72.5,Database 2
38,Germany,,1.1,30.5,2.57,74283,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,1.0,cooler,23.9,75.0,505.85,0.0,0.0,0.0,22.5,72.5,Database 2
39,Germany,0.45,1.5,30.5,2.57,74284,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,23.9,75.0,505.85,0.0,0.0,0.0,22.5,72.5,Database 2
40,Germany,0.61,1.6,30.5,2.57,74285,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,23.9,75.0,505.85,0.0,0.0,0.0,22.5,72.5,Database 2
41,Germany,0.64,1.3,23.9,0.38,74286,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,24.8,76.6,74.8,0.0,0.0,0.0,22.5,72.5,Database 2
42,Germany,0.41,1.2,23.9,0.38,74287,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,24.8,76.6,74.8,0.0,0.0,0.0,22.5,72.5,Database 2
43,Germany,0.72,1.5,30.6,2.75,74288,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,1.0,cooler,24.8,76.6,541.28,0.0,0.0,0.0,22.5,72.5,Database 2
44,Germany,0.47,1.3,28.7,0.19,74289,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,1.0,cooler,25.2,77.4,37.4,0.0,1.0,0.0,22.5,72.5,Database 2
45,Germany,0.61,1.7,27.8,0.04,74290,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,25.2,77.4,7.87,0.0,0.0,1.0,22.5,72.5,Database 2
