,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Thermal sensation,Thermal preference,Air movement preference,Air temperature (¡C),Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity preference,Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
33,Sweden,0.1,5.0,25.71,0.69,1.2,50.6,0.0,50009,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,-2.0,cooler,no change,23.2,73.8,24.8,76.6,24.5,76.1,no change,0.0,0.0,,,Database 2
34,Sweden,0.1,5.0,25.98,0.68,1.2,53.5,0.1,50010,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,-1.0,warmer,less,22.2,72.0,25.6,78.1,24.0,75.2,no change,0.0,19.69,,,Database 2
35,Sweden,0.2,6.0,25.96,0.63,1.2,47.9,0.1,50011,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,1.0,cooler,more,24.7,76.5,24.8,76.6,24.7,76.5,no change,0.0,19.69,,,Database 2
36,Sweden,0.9,20.0,28.84,0.65,1.6,45.8,0.0,50012,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,1.0,cooler,no change,25.4,77.7,25.1,77.2,25.2,77.4,no change,0.0,0.0,,,Database 2
37,Sweden,0.4,8.0,26.48,0.63,1.2,48.1,0.0,50013,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,2.0,cooler,no change,25.1,77.2,25.4,77.7,25.3,77.5,more humid,1.0,0.0,,,Database 2
38,Sweden,0.4,9.0,26.79,0.59,1.4,47.9,0.0,50014,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,1.0,cooler,no change,24.0,75.2,25.6,78.1,25.2,77.4,no change,0.0,0.0,,,Database 2
39,Sweden,-0.1,5.0,25.3,0.6,1.2,54.4,0.1,50015,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,-2.0,warmer,no change,22.0,71.6,25.5,77.9,23.9,75.0,no change,0.0,19.69,,,Database 2
40,Sweden,0.1,5.0,25.84,0.58,1.6,61.5,0.0,50016,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,0.0,no change,no change,22.0,71.6,22.3,72.1,22.2,72.0,no change,0.0,0.0,18.4,65.1,Database 2
41,Sweden,-0.4,8.0,23.78,0.58,1.2,55.2,0.0,50017,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,-2.0,no change,more,22.4,72.3,23.4,74.1,23.1,73.6,no change,0.0,0.0,18.4,65.1,Database 2
42,Sweden,-0.2,6.0,24.52,0.58,1.2,52.8,0.0,50018,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Malmo,Office,Air Conditioned,Mechanical Heating,1.0,cooler,no change,23.1,73.6,24.2,75.6,23.9,75.0,drier,-1.0,0.0,18.4,65.1,Database 2
