,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Thermal sensation,Thermal preference,Air movement preference,Air temperature (¡C),Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity preference,Humidity sensation,Air velocity (fpm),Database
43,France,0.3,7.0,26.0,0.52,1.3,35.5,0.1,50772,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,-1.0,no change,no change,25.1,77.2,26.0,78.8,25.6,78.1,more humid,1.0,19.69,Database 2
44,France,0.8,18.0,28.66,1.04,1.1,35.4,0.1,50774,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,0.0,cooler,no change,25.5,77.9,26.3,79.3,26.0,78.8,more humid,1.0,19.69,Database 2
45,France,1.9,74.0,31.91,0.88,1.1,33.1,0.1,50777,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,1.0,no change,no change,25.7,78.3,34.6,94.3,31.3,88.3,no change,1.0,19.69,Database 2
46,France,0.4,9.0,27.89,0.94,1.3,44.5,0.1,50778,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,-1.0,warmer,less,20.4,68.7,26.5,79.7,23.6,74.5,no change,0.0,19.69,Database 2
47,France,0.6,14.0,27.95,0.68,1.5,36.9,0.1,50780,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,2.0,cooler,less,24.4,75.9,25.4,77.7,25.0,77.0,no change,0.0,19.69,Database 2
48,France,0.0,5.0,25.27,0.63,1.1,37.2,0.1,50781,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,1.0,cooler,less,23.9,75.0,25.7,78.3,25.1,77.2,more humid,1.0,19.69,Database 2
49,France,1.0,25.0,29.92,0.74,1.7,37.7,0.1,50782,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,1.0,cooler,no change,24.3,75.7,25.5,77.9,25.1,77.2,no change,0.0,19.69,Database 2
50,France,0.8,18.0,28.56,0.67,1.6,35.2,0.1,50783,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,0.0,no change,no change,24.8,76.6,25.8,78.4,25.4,77.7,more humid,2.0,19.69,Database 2
51,France,0.9,23.0,29.92,0.87,1.6,36.7,0.1,50784,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,1.0,no change,no change,24.3,75.7,25.4,77.7,25.0,77.0,no change,0.0,19.69,Database 2
52,France,0.9,21.0,30.17,1.19,1.3,38.0,0.1,50785,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,1.0,no change,less,23.9,75.0,25.2,77.4,24.6,76.3,no change,0.0,19.69,Database 2
