,Country,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Thermal preference,Air movement preference,Air temperature (¡C),Air temperature (¡F),Humidity preference,Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
33,Nigeria,59.0,0.3,75787,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,38.0,-2.0,no change,more,35.0,95.0,no change,0.0,58.8,38.1,100.6,Database 2
34,Nigeria,38.0,0.1,75788,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,38.0,1.0,no change,more,36.0,96.8,no change,-1.0,19.6,38.1,100.6,Database 2
35,Nigeria,60.0,0.0,75789,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,53.0,2.0,cooler,more,35.0,95.0,no change,-1.0,0.0,38.1,100.6,Database 2
36,Nigeria,75.0,0.0,75790,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,23.0,2.0,,more,40.0,104.0,no change,-2.0,0.0,38.1,100.6,Database 2
37,Nigeria,73.0,0.0,75791,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,53.0,0.0,no change,more,32.0,89.6,no change,-1.0,0.0,38.1,100.6,Database 2
38,Nigeria,54.0,,75792,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,53.0,2.0,cooler,more,33.0,91.4,,-1.0,,38.1,100.6,Database 2
39,Nigeria,18.5,0.0,75793,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,68.0,2.0,cooler,more,33.0,91.4,no change,-3.0,0.0,38.1,100.6,Database 2
40,Nigeria,68.0,0.0,75794,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,53.0,2.0,cooler,no change,32.0,89.6,drier,-3.0,0.0,38.1,100.6,Database 2
41,Nigeria,79.0,0.0,75795,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,23.0,2.0,,more,36.0,96.8,drier,-2.0,0.0,38.1,100.6,Database 2
42,Nigeria,67.0,0.3,75796,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,23.0,0.0,no change,no change,35.0,95.0,no change,1.0,58.8,38.1,100.6,Database 2
43,Nigeria,87.0,0.0,75797,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,,2.0,cooler,more,35.0,95.0,drier,-2.0,0.0,38.1,100.6,Database 2
44,Nigeria,55.0,,75798,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,53.0,2.0,cooler,more,36.0,96.8,drier,1.0,,38.1,100.6,Database 2
45,Nigeria,79.0,0.3,75799,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,53.0,0.0,no change,no change,32.0,89.6,no change,0.0,58.8,38.1,100.6,Database 2
46,Nigeria,80.0,0.0,75800,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,38.0,2.0,cooler,more,32.0,89.6,drier,-3.0,0.0,38.1,100.6,Database 2
47,Nigeria,79.0,0.1,75801,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,23.0,1.0,,more,31.0,87.8,drier,-1.0,19.6,38.1,100.6,Database 2
48,Nigeria,54.0,0.0,75802,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,38.0,1.0,cooler,more,35.0,95.0,drier,-2.0,0.0,38.1,100.6,Database 2
49,Nigeria,54.0,0.3,75803,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,38.0,0.0,no change,no change,35.0,95.0,drier,0.0,58.8,38.1,100.6,Database 2
50,Nigeria,93.0,0.5,75804,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,23.0,2.0,cooler,more,35.0,95.0,drier,-1.0,98.0,38.1,100.6,Database 2
51,Nigeria,32.0,0.1,75805,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Multifamily housing,Naturally Ventilated,23.0,1.0,,more,32.0,89.6,drier,-1.0,19.6,38.1,100.6,Database 2
