,Country,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Age,Thermal sensation,activity_20,Air temperature (¡C),Air temperature (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
49,Belgium,0.77,1.0,50.8,0.0,65076,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,-2.0,1.6,15.0,59.0,0.0,5.0,41.0,Database 2
50,Belgium,0.94,1.0,43.9,0.0,65077,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,65.0,1.0,1.2,22.0,71.6,0.0,5.0,41.0,Database 2
51,Belgium,1.2,1.0,28.0,0.0,65078,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,65.0,2.0,1.0,24.0,75.2,0.0,5.0,41.0,Database 2
52,Belgium,0.94,1.0,29.5,0.0,65079,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,30.0,0.0,1.0,19.2,66.6,0.0,5.0,41.0,Database 2
53,Belgium,1.05,1.0,47.5,0.0,65080,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,1.0,1.2,18.9,66.0,0.0,5.0,41.0,Database 2
54,Belgium,0.7,1.0,60.7,0.0,65081,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,30.0,0.0,1.2,19.5,67.1,0.0,5.0,41.0,Database 2
55,Belgium,0.77,1.0,48.6,0.0,65082,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,30.0,-1.0,2.4,17.4,63.3,0.0,5.0,41.0,Database 2
56,Belgium,1.04,1.0,50.4,0.0,65083,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,30.0,-1.0,1.6,16.9,62.4,0.0,5.0,41.0,Database 2
57,Belgium,0.86,1.0,53.8,0.0,65084,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,-2.0,2.4,12.5,54.5,0.0,5.0,41.0,Database 2
58,Belgium,1.1,1.0,48.4,0.0,65085,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,30.0,-2.0,2.4,13.4,56.1,0.0,5.0,41.0,Database 2
59,Belgium,1.01,1.0,67.3,0.0,65086,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,-2.0,1.2,12.0,53.6,0.0,5.0,41.0,Database 2
60,Belgium,1.01,1.0,57.0,0.0,65087,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,30.0,-2.0,2.4,15.4,59.7,0.0,5.0,41.0,Database 2
61,Belgium,1.19,1.0,55.9,0.0,65088,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,-1.0,1.6,17.6,63.7,0.0,5.0,41.0,Database 2
62,Belgium,1.11,1.0,54.2,0.0,65089,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,0.0,1.6,19.8,67.6,0.0,5.0,41.0,Database 2
63,Belgium,1.19,1.0,59.7,0.0,65090,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,0.0,1.6,18.4,65.1,0.0,5.0,41.0,Database 2
64,Belgium,1.19,1.0,59.5,0.0,65091,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,-1.0,1.2,17.5,63.5,0.0,5.0,41.0,Database 2
65,Belgium,0.81,1.0,40.7,0.0,65092,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,70.0,1.0,1.2,21.4,70.5,0.0,5.0,41.0,Database 2
66,Belgium,0.77,1.0,76.1,0.0,65093,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,0.0,1.2,19.6,67.3,0.0,5.0,41.0,Database 2
67,Belgium,0.69,1.6,58.8,0.0,65094,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,70.0,-1.0,1.2,18.2,64.8,0.0,5.0,41.0,Database 2
68,Belgium,1.13,1.0,53.8,0.0,65095,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,30.0,0.0,1.2,20.7,69.3,0.0,5.0,41.0,Database 2
