,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Clo,Met,Outdoor monthly air temperature (¡C),Thermal sensation
82772,38,2,0.12,22.9,23.7,66.7,0.66,1.1,13.4,-1
82773,43,1,0.1,23.3,23.9,66.5,0.56,1.1,13.4,0
82774,22,1,0.1,24,24.5,65.5,0.72,1.1,13.4,1
82775,47,1,0.11,23.9,24.2,65.4,0.65,1.1,13.4,0
82776,37,2,0.1,24,24.6,63.5,0.41,1.1,13.4,0
82777,37,1,0.1,24.2,24.7,63.1,0.65,1.1,13.4,0
82778,35,1,0.1,23.7,24.5,63.6,0.56,1.1,13.4,-1
82779,20,2,0.11,23.2,24.1,63.9,0.46,1.1,13.4,1
82780,32,1,0.11,23.5,24.4,63.8,0.6,1.1,13.4,-1
82781,25,2,0.1,24,24.8,63.3,0.56,1.1,13.4,0
82782,21,1,0.1,24.4,24.8,62.8,0.65,1.1,13.4,2
82783,40,2,0.1,24.3,24.7,62.9,0.71,1.1,13.4,0
82784,25,2,0.1,24.2,24.6,63,0.55,1.1,13.4,-1
82785,42,1,0.1,24.3,24.7,63,0.56,1.1,13.4,-1
82786,23,1,0.1,24.4,24.8,62.4,0.65,1.1,13.4,0
82787,24,1,0.1,24.2,24.7,63.1,0.65,1.1,13.4,-1
82788,26,2,0.1,24.5,24.9,62.7,0.46,1.1,13.4,0
82789,50,1,0.09,24.4,24.8,62.8,0.65,1.1,13.4,1
82790,31,1,0.11,24.5,24.8,62.6,0.56,1.1,13.4,1
82791,33,1,0.1,24.5,24.9,62.9,0.56,1.1,13.4,1
82792,28,2,0.11,24.1,24.5,63.2,0.59,1.1,13.4,0
82793,28,2,0.1,23.7,24.2,63.7,0.51,1.1,13.4,0
82794,25,1,0.11,23.5,24,64,0.65,1.1,13.4,0
82795,31,2,0.11,23.5,24,64.1,0.74,1.1,13.4,-1
82796,23,2,0.09,23.7,24.1,64.2,0.4,1.1,13.4,0
82797,47,2,0.14,22.9,23.7,65.6,0.91,1.1,13.4,-2
82798,23,1,0.11,22.8,23.2,65.6,0.56,1.1,13.4,-1
82799,49,1,0.09,23.2,23.7,65.1,0.65,1.1,13.4,0
82800,40,2,0.11,23,23.4,64.7,0.88,1.1,13.4,-1
82801,37,2,0.1,23.1,23.3,65,0.54,1.1,13.4,1
82802,23,1,0.12,24,24.4,64.1,0.56,1.1,13.4,1
82803,32,1,0.11,24.5,25.1,63.2,0.65,1.1,13.4,0
82804,38,2,0.1,24.2,24.8,63.2,0.62,1.1,13.4,1
82805,36,1,0.1,24.1,24.5,63.4,1.24,1.1,13.4,0
82806,26,2,0.13,26.1,26.5,61.1,0.48,1.1,13.4,0
82807,42,2,0.11,25.6,26.2,61.4,0.54,1.1,13.4,1
82809,23,1,0.12,26.5,27.1,65.8,0.56,1.1,13.4,0
82810,40,1,0.12,26.8,27.3,68.1,0.56,1.1,13.4,2
82811,39,1,0.12,26.9,27.4,59.7,0.56,1.1,13.4,2
82812,52,2,0.11,26.7,27.3,58.5,0.54,1.1,13.4,1
82813,28,2,0.11,26.8,27.1,58.7,0.57,1.1,13.4,0
82814,38,2,0.11,26.8,27.2,58.4,0.56,1.1,13.4,2
82815,37,1,0.12,26.6,27.1,58.8,0.65,1.1,13.4,1
82816,30,2,0.13,26,26.7,58.2,0.41,1.1,13.4,0
82817,31,1,0.13,25.9,26.4,58.6,0.56,1.1,13.4,0
82818,37,2,0.11,25.5,25.7,60.2,0.52,1.1,13.4,1
82819,32,1,0.12,24.8,25.1,60.2,0.65,1.1,13.4,2
82820,40,2,0.14,24.6,25.1,60.3,0.38,1.1,13.4,0
82821,26,2,0.15,24.9,25.7,60.1,0.56,1.1,13.4,-1
82822,24,1,0.11,25.6,26.1,59.3,0.84,1.1,13.4,1
82823,26,2,0.11,25.8,26.4,59.2,0.46,1.1,13.4,1
82824,35,1,0.11,25.8,26.6,59.4,0.56,1.1,13.4,1
82825,23,1,0.11,25.6,26,59.7,0.56,1.1,13.4,0
82826,25,1,0.11,26.2,26.4,59.8,0.56,1.1,13.4,2
82827,52,2,0.12,26.4,26.8,59.1,0.41,1.1,13.4,1
82828,18,1,0.13,25.9,26.8,59.4,0.72,1.1,13.4,1
82829,31,2,0.12,25.9,26.7,59.6,0.54,1.1,13.4,2
82830,39,1,0.13,26,26.7,59.4,0.65,1.1,13.4,0
82831,37,1,0.13,26.2,26.9,59.2,0.65,1.1,13.4,1
82832,36,2,0.11,25.4,25.7,58.8,0.46,1.1,13.4,1
82833,29,1,0.13,25.1,25.4,58.7,0.65,1.1,13.4,1
82834,43,2,0.13,25.3,25.6,59.7,0.56,1.1,13.4,1
82835,27,2,0.12,25.3,25.6,59.4,0.57,1.1,13.4,0
82836,27,1,0.13,25.4,26.1,59,0.56,1.1,13.4,0
82837,28,2,0.13,25.4,26.2,59.1,0.47,1.1,13.4,0
82838,28,1,0.15,25.5,26.2,58.2,0.56,1.1,13.4,1
82839,50,1,0.11,25.7,26.1,58.3,0.56,1.1,13.4,1
82840,24,2,0.11,25.9,26.1,56.8,0.41,1.1,13.4,-1
82841,37,2,0.13,25.6,25.8,57,0.41,1.1,13.4,0
82842,25,2,0.12,25.7,25.9,57.3,0.55,1.1,13.4,-1
82843,39,2,0.14,25.5,26,57,0.38,1.1,13.4,0
82844,36,2,0.12,25.3,25.7,57.9,0.46,1.1,13.4,-1
82845,30,2,0.11,24.9,25.4,58.2,0.34,1.1,13.4,2
82846,50,1,0.12,24.9,25.3,57.9,0.65,1.1,13.4,0
82847,31,1,0.14,24.9,25.6,58.1,0.56,1.1,13.4,1
82848,39,1,0.11,25,25.8,59.7,0.65,1.1,13.4,0
82849,37,1,0.11,25.5,26.1,59.1,0.56,1.1,13.4,-1
82850,32,2,0.12,24.8,25,57.3,0.56,1.1,13.4,0
82851,30,1,0.11,25.2,25,56.8,0.56,1.1,13.4,1
82852,32,1,0.12,24.9,25.1,56.7,0.65,1.1,13.4,0
82853,27,2,0.14,24.6,25.4,57,0.56,1.1,13.4,-1
82854,29,1,0.14,24.2,25.1,57.3,0.56,1.1,13.4,1
82855,24,2,0.13,24.3,24.8,57.4,0.41,1.1,13.4,0
82856,26,2,0.14,24.5,25.6,57.4,0.57,1.1,13.4,1
82857,25,1,0.12,24.5,25.4,57.1,0.56,1.1,13.4,0
82858,25,1,0.13,24.7,25.5,57,0.56,1.1,13.4,-1
82859,27,2,0.15,24.7,25,57.3,0.41,1.1,13.4,0
82860,28,2,0.11,25,25.3,57.2,0.82,1.1,13.4,-1
83253,31,2,0.05,23,23.1,44.7,0.69,1.2,13.4,1
83254,31,2,0.09,23.5,23.6,43.5,0.58,1,13.4,1
83255,31,2,0.05,23.2,23.1,44.1,0.31,1.2,13.4,1
83256,31,2,0.06,23.2,23.2,44.1,0.77,1,13.4,1
83257,31,1,0.1,22.7,22.8,45,0.68,1,13.4,0
83258,31,2,0.07,22.7,22.8,44.9,0.89,1.2,13.4,0
83259,31,1,0.06,22.8,22.8,44.8,0.92,1.2,13.4,0
83260,31,2,0.06,23,23,44.5,0.78,1.2,13.4,1
83261,31,2,0.05,23,23,44.5,0.41,1.2,13.4,2
83262,31,1,0.1,22.9,23.1,44.4,0.57,1,13.4,0
83263,31,2,0.04,22.6,22.8,45.2,0.62,1.2,13.4,1
83264,31,2,0.07,22.9,23,44.5,0.52,1.2,13.4,1
83265,31,2,0.06,23.1,23.2,43.9,0.59,1.2,13.4,-1
83266,31,2,0.05,22.9,23,44.5,0.48,1.4,13.4,1
83267,31,2,0.05,23,23.1,44.5,0.72,1.2,13.4,1
83268,31,2,0.07,23,23.2,44.5,1.04,1.2,13.4,1
83269,31,2,0.07,23.1,23.2,44.3,0.53,1,13.4,2
83270,31,1,0.05,22.9,22.8,45.1,0.62,1,13.4,0
83271,31,1,0.06,22.9,23,44.7,0.98,1,13.4,0
83272,31,1,0.05,22.9,23.1,45.5,0.79,1,13.4,0
83273,31,2,0.04,23.1,23.1,45.6,0.73,1,13.4,0
83274,31,2,0.05,23.2,23.4,45.9,0.93,1.2,13.4,0
83275,31,2,0.08,23.7,23.8,44.9,1,1,13.4,1
83276,31,2,0.08,23.7,23.8,44.9,0.93,1.2,13.4,0
83277,31,1,0.08,23.7,23.7,45.1,0.62,1,13.4,2
83278,31,1,0.05,23.6,23.8,45.2,0.78,1.2,13.4,1
83279,31,2,0.05,23,23.2,46.5,0.68,1.4,13.4,-1
83280,31,2,0.06,22.8,22.9,47,0.87,1.2,13.4,0
83281,31,2,0.07,22.9,23.1,46.4,0.52,1.2,13.4,0
83282,31,2,0.06,23.2,23.3,45.8,0.88,1,13.4,-1
83283,31,2,0.08,22.9,23,45.8,0.98,1.2,13.4,1
83284,31,1,0.06,23.1,23.2,45.3,0.81,1.2,13.4,0
83285,31,1,0.08,23.2,23.3,45.2,0.72,1.2,13.4,1
83286,31,1,0.1,23.3,23.4,45,0.62,1,13.4,0
83287,31,1,0.11,22.7,22.8,46.3,0.55,1,13.4,-1
83288,31,2,0.08,23,23.2,45.6,0.61,1.2,13.4,0
83289,31,2,0.12,23.2,23.3,44.9,0.52,1.2,13.4,2
83290,31,2,0.08,23,23,45.5,0.93,1,13.4,0
83291,31,2,0.07,23,23,45.6,0.53,1.2,13.4,0
83292,31,1,0.08,22.8,22.9,46.2,0.79,1.2,13.4,0
83293,31,2,0.08,23,23.1,45.6,0.9,1.2,13.4,1
83294,31,2,0.07,23.3,23.5,45.1,0.52,1.2,13.4,0
83295,31,2,0.04,23.2,23.3,45.1,0.7,1.4,13.4,0
83296,31,2,0.05,23.2,23.3,45.1,0.31,1.2,13.4,1
83297,31,1,0.07,23,22.9,45.8,0.89,1,13.4,0
83298,31,2,0.06,23,23,45.7,0.57,1,13.4,-1
83299,31,2,0.04,23.1,23.1,45.3,0.63,1,13.4,0
83300,31,1,0.05,23.3,23.4,45,0.59,1,13.4,0
83301,31,2,0.05,23.1,23.1,45.9,0.51,1.4,13.4,1
83302,31,1,0.06,23.2,23.3,45.9,0.33,1.2,13.4,0
