,PMV,PPD,SET,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Ta_h (¡C),Ta_m (¡C),Ta_l (¡C),Tg_h (¡C),Tg_m (¡C),Tg_l (¡C),Blind (curtain),Outdoor monthly air temperature (¡F)
27,0.4,8,26.04,1.2,26.3,24,0.04,1,26.3,23.6,24,29.2,24.4,22.7,0,41
28,0.5,9,26.92,1,26.3,24,0.04,1,26.3,23.6,24,29.2,24.4,22.7,0,41
29,0.1,5,25.52,1,26.3,24,0.04,0,26.3,23.6,24,29.2,24.4,22.7,0,41
30,0.6,13,27.45,1.2,26.3,24,0.04,0,26.3,23.6,24,29.2,24.4,22.7,0,41
31,-0.2,6,23.76,1.3,25.8,24.5,0.3,0,25.8,23.4,23.9,27.6,24.1,22.6,0,41
32,-1.1,31,20.54,1.2,23.5,24.3,0.88,0,23.5,22.1,22.9,22.9,22.7,21.6,0,41
33,-0.5,10,22.84,1.2,23.5,24.3,0.88,0,23.5,22.1,22.9,22.9,22.7,21.6,0,41
34,0.2,6,25.98,1.2,24.1,18.6,0.04,0,24.1,22.4,23.3,23.5,23.2,22,0,41
35,-0.3,7,24.34,1,24.1,18.6,0.04,0,24.1,22.4,23.3,23.5,23.2,22,0,41
36,0.1,5,25.72,1.2,24.1,18.6,0.04,0,24.1,22.4,23.3,23.5,23.2,22,0,41
37,0,5,24.91,1.2,24.2,20,0.04,0,24.2,22.6,23.4,23.6,23.3,22.1,0,41
38,-0.5,10,23.34,1.2,21.6,25.4,0.02,0,21.6,20.3,21.3,20.9,20.9,19.9,0,41
39,-0.4,8,23.98,1.2,21.6,25.4,0.02,-1,21.6,20.3,21.3,20.9,20.9,19.9,0,41
40,-1,26,21.01,1.2,23.2,27.1,0.74,-1,23.2,21.8,22.5,22.5,22.4,21.2,0,41
41,-2,75,18.99,1,23.2,27.1,0.74,0,23.2,21.8,22.5,22.5,22.4,21.2,1,41
42,-0.5,10,23.23,1.2,23.4,24.6,0.02,0,23.4,22,22.5,22.9,22.5,21.2,0,41
43,-0.2,6,22.91,1.6,23.2,24.7,1.04,-1,23.2,21.9,22.4,22.7,22.3,21,1,41
44,-1.4,47,19.39,1.2,23.2,24.7,1.04,0,23.2,21.9,22.4,22.7,22.3,21,0,41
45,-1,27,20.9,1.2,23,27.6,0.62,0,23,22,22.2,22.3,22,20.9,0,41
46,-0.8,19,21.7,1.2,23,27.6,0.62,-1,23,22,22.2,22.3,22,20.9,0,41
47,-2.2,85,16.8,1.2,23.3,28.1,2.1,0,23.3,22.3,22.4,22.6,22.3,21.1,0,41
48,-3,99,15.15,1,23.3,28.1,2.1,-1,23.3,22.3,22.4,22.6,22.3,21.1,0,41
49,-1.266666667,39.66666667,20.57666667,1.366666667,24.2,27.6,0.7,-1,24.2,23.3,23.5,23.8,23.5,22.3,0,41
50,-0.8,18,21.73,1.2,24.2,27.6,0.7,0,24.2,23.3,23.5,23.8,23.5,22.3,1,41
51,-1.1,30,20.24,1.2,25.9,28.2,1.64,1,25.9,25.2,24.7,25.3,25.1,23.4,1,41
52,0.3,7,26.95,1.7,21.8,21.7,0.04,0,21.8,21,21.6,21.1,21.1,20.3,0,41
53,-0.9,23,21.57,1.2,21.9,22,0.68,0,21.9,21.1,21.7,21.2,21.3,20.4,0,41
54,-1.5,50,20.85,1,22.7,22.4,0.04,-1,22.7,21.8,22.2,22.1,22,21,0,41
55,-1.3,38,20.26,1.2,22.5,22.8,0.64,1,22.5,21.5,21.6,22,22,20.8,0,41
56,0.4,9,26.13,1.2,26.1,22,0.02,0,26.1,28.6,24.6,28,29.2,23.5,0,41
57,-1.2,38,19.92,1.2,23.1,24.7,1.04,0,23.1,22.2,22.4,22.4,22.2,21.1,0,41
58,-1.6,59,18.71,1.2,23.1,24.7,1.04,0,23.1,22.2,22.4,22.4,22.2,21.1,0,41
59,-0.8,20,20.9,1.3,23.1,24.7,1.04,-1,23.1,22.2,22.4,22.4,22.2,21.1,0,41
60,-1.2,34,20.98,1.2,24.2,28.9,0.04,0,24.2,23.3,23.2,23.7,23.5,22,0,41
61,-1,24,20.63,1.2,24.3,28.9,1.6,0,24.3,23.2,23.2,23.7,23.3,21.9,0,41
62,-1.7,63,18.36,1.2,24.3,28.9,1.6,0,24.3,23.2,23.2,23.7,23.3,21.9,0,41
