,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Tg_h (¡C),Outdoor monthly air temperature (¡F)
22514,-0.576666667,14.09666667,23.14666667,0.79,1,22.7,50.2,0.023333333,0,22.43333333,61.4
22515,-0.556666667,15.67,23.24333333,0.69,1.1,22.7,49.8,0.043333333,1,21.86666667,61.2
22516,-2.67,91.81,16.09333333,1.11,1,19,62.3,0.153333333,1,19.03333333,54.1
22517,-1.316666667,42.11,20.31,0.64,4,17.7,58.8,0.266666667,1,24.06666667,63.8
22518,-0.913333333,25.74333333,21.95666667,0.59,2,19.7,68.3,0.043333333,1,21.86666667,57.6
22519,-1.053333333,33.17,21.77666667,0.7,1,19.7,68.1,0.06,0,21.86666667,57.6
22520,-1.053333333,33.17,21.77666667,0.74,1,20,68.4,0.043333333,1,20.66666667,57.1
22521,-0.493333333,27.99,24.28333333,0.63,1,21.3,58.7,0.066666667,0,21.86666667,57.6
22522,-0.493333333,27.99,24.28333333,0.83,0.8,21.3,58.7,0.06,0,21.86666667,57.6
22523,-0.293333333,15.73,24.48333333,0.65,1.7,22.2,54.3,0.08,0,22.23333333,58.8
22524,-0.813333333,18.88333333,22.20666667,0.27,1.2,22,51.3,0.056666667,2,22.03333333,58.6
22525,-0.663333333,16.62,22.88666667,0.57,1,21.4,50,0.056666667,0,20.56666667,55.5
22526,-1.533333333,53.03,20.29666667,0.69,1,19.8,50,0.086666667,0,20.26666667,65.2
22527,-0.6,15.33333333,22.83666667,0.5,1.1,22.9,63.8,0.236666667,1,21.86666667,61.6
22528,-0.923333333,26.58333333,22.21,0.48,2,21.7,63.8,0.05,1,24.2,61.2
22529,-1.26,38.34333333,20.83,0.4,1,20,63.8,0.06,-2,24.2,60.9
22530,-1.09,30.31,21.49666667,0.56,1.2,20,63.8,0.07,1,21.86666667,60.7
22531,-1.09,30.31,21.49666667,0.54,2,20,63.8,0.07,1,21.86666667,60.4
22532,-1.07,33.23333333,21.93666667,0.65,1,22,62.3,0.073333333,0,21.9,57.8
22533,-0.84,31.14,22.81,0.59,1.1,22.8,41.9,0.13,1,22.8,62.8
22534,-0.68,15.28333333,23.01,0.64,1,21.3,62.3,0.09,2,21.86666667,58.5
22535,-0.58,12.14666667,23.25,0.73,1,23.6,51.4,0.073333333,0,23.56666667,73.2
22536,-0.486666667,10.09,23.51,0.7,1,24.1,51.3,0.073333333,-1,23.56666667,69.8
22537,-1.02,28.05,22.10333333,0.52,1,20.8,65.8,0.076666667,2,21.76666667,66.7
22538,-0.783333333,23.26666667,21.93666667,0.54,2,20.9,66.9,0.28,1,21.73333333,66.4
22539,-0.216666667,14.56333333,24.86,0.69,1,20.3,57.7,0.05,1,21.86666667,59.5
22540,-0.033333333,19.94666667,25.50666667,0.59,1.7,21.5,56.4,0.02,2,22.93333333,61.6
22541,0.253333333,16.59,25.91333333,0.59,2,23.3,54,0.056666667,1,22.8,73.4
22542,0.463333333,36.28333333,27.37,0.64,4,22.9,63.4,0.09,2,22.36666667,71
22543,-0.313333333,8.92,24.00666667,0.48,0.8,23.3,56.7,0.036666667,0,21.9,69.3
22544,-0.636666667,13.96333333,22.74666667,0.66,1.5,23,51.6,0.05,0,23.46666667,69.6
22545,-0.71,15.85,22.5,0.37,1,22.5,50.9,0.056666667,0,21.9,69.1
22546,-0.606666667,13.14333333,23.02,0.65,1.1,22.6,54.8,0.026666667,0,22.36666667,68.2
22547,-0.926666667,26.39,22.20666667,0.54,1,21.5,66.1,0.076666667,1,24.13333333,59.9
22548,-1.056666667,32.96,21.92,0.57,0.8,22,52.6,0.096666667,0,21.76666667,67.9
22549,-0.433333333,10.33333333,23.75666667,0.51,1.1,22.5,53.1,0.066666667,0,22.8,65.9
22550,-1.163333333,35.12666667,21.77333333,0.74,1,22.1,47.8,0.066666667,0,21.3,68.1
22551,-1.18,35.63333333,21.37666667,0.45,1.1,21,65.9,0.063333333,0,23,64.1
22552,-1.02,28.05,22.10333333,0.52,1,21,65.9,0.076666667,1,23,64.1
22553,0.133333333,9.666666667,25.74,0.58,1,23.8,54.6,0.03,2,24.03333333,60.7
22554,0.133333333,9.666666667,25.74,0.61,1,23.8,54.6,0.03,2,24.03333333,60.7
22555,-0.766666667,25.15333333,23.08,0.37,1.1,23.3,48.4,0.136666667,-1,23.43333333,65.7
22556,-0.766666667,25.15333333,23.08,0.48,1,23.3,48.7,0.136666667,-1,23.4,64.7
22557,-0.256666667,25.85333333,24.94,0.47,1.1,22,57.4,0.056666667,2,21.7,66
22558,-0.39,10.97333333,23.89333333,0.47,1.1,23.2,60.7,0.01,0,22.73333333,67.7
22559,-0.053333333,13.04,25.35333333,0.83,1.2,24.4,57.3,0.073333333,0,22.73333333,66
22560,-0.053333333,13.04,25.35333333,0.65,1.1,24.5,57.3,0.213333333,1,22.56666667,66.2
22561,-0.65,18.12333333,23.24,0.65,1.2,24.4,56.7,0.213333333,1,22.56666667,66
22562,-0.51,11.26666667,23.29666667,0.37,1,23,54.6,0.083333333,2,22.36666667,58.6
22563,-0.743333333,18.73333333,22.34666667,0.5,1,21,54.6,0.1,-1,20.83333333,58.6
22564,-0.62,17.25666667,22.98666667,0.64,2,19.2,60.9,0.066666667,0,20.36666667,55.5
22565,-0.533333333,28.95333333,24.17666667,0.39,1,21.1,56.5,0.046666667,0,20.76666667,65.7
22566,-0.553333333,42.47333333,24.34333333,0.47,1.7,19.6,56.2,0.086666667,2,20.6,67.6
