PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Radiant temperature (¡C),Globe temperature (¡C),Humidity sensation,Outdoor monthly air temperature (¡F)
-0.3,7,24.2,0.63,1.2,22.8,36.3,0,0,23.6,23.5,0,49.6
-0.2,6,24.64,0.66,1.2,22.8,36.8,0,1,24.4,23.9,0,49.6
-0.2,6,24.47,0.63,1.2,23,35.5,0,0,24,23.9,0,49.6
0,5,25.43,0.68,1.2,23.5,34.7,0.1,0,24.5,24.1,0,49.6
0.2,6,26.28,0.87,1.2,23.3,36.6,0,0,23.9,23.8,0,49.6
-0.1,5,24.83,0.68,1.2,23.3,34.6,0,0,23.8,23.7,0,49.6
0.3,7,26.42,0.66,1.6,23,32.6,0.1,0,23.2,23.1,0,49.6
0.4,8,26.83,0.93,1.2,23.6,31.9,0,1,24.3,24.2,0,49.6
-0.2,6,24.43,0.61,1.3,22.6,34,0,0,23.4,23.1,1,49.6
0.1,5,25.72,0.82,1.2,23.1,35.3,0,0,23.7,23.6,0,49.6
-0.3,6,24.25,0.62,1.2,22.9,35.4,0,0,24.1,23.7,0,49.6
0.3,7,26.58,0.87,1.2,23.8,32.4,0,0,24.4,24.3,-1,49.6
0.2,6,25.92,0.82,1.2,23.6,32.2,0,0,23.8,23.8,1,49.6
0.2,6,26.48,0.82,1.2,22.5,34.1,0.1,0,25.3,24.1,0,49.6
-0.2,5,24.69,0.7,1.2,22.7,34.8,0,0,23.9,23.6,0,49.6
0.2,6,26.24,0.74,1.2,24.1,33.2,0.1,2,25,24.6,2,49.6
0.1,5,25.84,0.91,1.2,21.9,35.9,0,0,24.2,23.5,0,49.6
-0.1,5,24.84,0.65,1.2,22.9,33,0.1,0,24.3,23.7,0,49.6
0.2,6,26.11,0.67,1.3,23.3,30.5,0.1,1,25.4,24.6,0,49.6
0.2,6,26.59,0.99,1.2,22.5,38.6,0,1,23.3,23.3,-1,48.6
0.7,14,28.86,0.96,1.6,22.7,37.1,0,0,23.4,23.3,0,48.6
0.2,6,25.99,0.82,1.2,23.4,37.2,0,1,23.8,23.8,-1,48.6
-0.1,5,24.97,0.66,1.3,21.8,42.2,0.1,0,23.3,22.7,0,48.6
0.2,6,25.71,0.56,1.6,22.9,37.8,0,-1,23.3,23.2,0,48.6
0.3,6,26.52,0.82,1.2,23.4,35.2,0.1,-1,24.8,24.2,1,48.6
0.3,7,26.26,0.77,1.2,24.3,33,0,1,24.7,24.6,0,48.6
0.2,6,26.16,0.78,1.4,22.7,35.1,0.1,-1,22.9,22.8,0,48.6
0.6,13,27.49,0.57,1.7,23.8,33.9,0,0,24.4,24.2,0,48.6
0.1,5,25.74,0.8,1.2,23,35.5,0,1,24.5,24,0,48.6
0.4,8,26.67,0.68,1.4,23.6,28.9,0,0,25,24.6,1,48.6
-0.2,6,24.45,0.74,1.2,22,47.3,0,-1,22.7,22.6,0,51.8
0.1,5,26.2,1.11,1.2,20.6,50.1,0,0,21.8,21.7,0,51.8
0,5,25.4,0.82,1.2,22.3,47.2,0,-1,23.1,23,2,51.8
0,5,25.46,0.82,1.2,22.1,48.8,0,0,23.5,23.2,0,51.8
0.3,7,26.49,0.6,1.6,23,46.9,0,1,23.4,23.3,2,51.8
0.6,12,28.32,0.86,1.5,22.5,48.6,0,0,23.2,23.1,0,51.8
-0.1,5,25.16,0.77,1.2,21.8,50.8,0,0,23.6,23.5,0,51.8
0.1,5,25.69,0.76,1.2,23.2,49.7,0,0,23.5,23.5,1,51.8
0.1,5,25.95,0.77,1.2,22.8,47.9,0,0,24.4,24.3,0,51.8
0.1,5,25.96,0.82,1.2,22.9,46.6,0,0,23.6,23.6,0,51.8
0,5,25.63,0.82,1.2,21.9,48.5,0,-1,24,23.7,0,51.8
-0.5,9,23.66,0.63,1.1,22.6,49.3,0,0,23.9,23.6,0,51.8
0.5,10,27.08,0.52,1.7,22.8,45.8,0,0,24.3,24.1,0,51.8
0.9,24,30.84,0.95,1.8,22.7,46.2,0,0,23.8,23.7,2,51.8
0.1,5,25.83,0.81,1.2,22.6,47.4,0,0,24.1,23.7,0,51.8
0.4,8,27.17,0.66,1.6,22.1,49.1,0,0,24,23.6,0,51.8
0.733333333,16,28.61666667,0.91,1.8,23.96666667,44.1,0.016666667,1,23.9,23.93333333,0,51.8
0.1,5,26.01,0.83,1.5,21.2,36.3,0,0,21.7,21.7,2,41.3
