,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Air movement acceptability,Tg_h (¡C)
159,-0.8,19,22.31,0.51,1.1,25.3,39.1,0.2,1,1,23.9
160,-0.1,5,24.73,0.42,1.2,25,43.3,0.13,0,1,25.2
161,0.9,22,29.3,1.01,1.2,25.6,41.3,0.05,-2,1,25.4
162,0.5,11,27.25,0.78,1.2,25.6,41.4,0.08,0,1,25.2
163,0.2,6,25.9,0.5,1.6,23.5,46.5,0.13,-2,1,23.4
164,-0.6,11,23.66,0.42,1.1,24,45.7,0.15,-2,1,24.5
165,0.2,6,25.73,0.56,1.1,26.3,38.6,0.17,1,1,26.3
166,0.2,6,25.47,0.56,1.1,26.4,38.2,0.2,1,1,26.3
167,0.1,5,25.52,0.75,1.3,25.4,41.7,0.19,-1,1,24.1
168,-0.7,15,22.6,0.56,1.2,23.9,44.7,0.31,0,1,23.7
169,-0.2,6,24.81,0.67,1.2,23.5,44.9,0.16,0,1,23.4
170,-0.3,7,24.18,0.61,1.2,23.5,44.9,0.12,-2,1,23.4
171,0,5,25.74,0.76,1.2,23.7,43.9,0.13,-2,1,23.8
172,0.2,6,26.36,0.81,1.3,23.6,46.4,0.13,1,1,23
173,-0.5,10,23.44,0.5,1.3,23.4,46.3,0.14,-1,1,22.7
174,0.3,7,26.1,0.54,1.4,25.9,39.7,0.13,-1,1,24.7
175,-0.9,21,22.61,0.4,1.1,24.5,47,0.15,-1,1,24.3
176,-0.1,5,24.7,0.56,1.1,24.7,45.9,0.11,-1,1,24.6
177,-2.1,81,19.13,0.4,1.1,24.3,46.4,0.49,0,1,23.7
178,-0.4,8,23.38,0.41,1.5,23.6,43.8,0.17,-1,1,23.1
179,0,5,25.19,0.78,1.4,23,46.2,0.24,-1,1,22.7
180,0,5,25.23,0.67,1.3,24.1,43.2,0.13,-1,1,23.4
181,-1.1,30,21.52,0.39,1.1,23.1,45.5,0.11,-2,0,22.9
182,-0.7,15,22.65,0.5,1.2,23.6,41.3,0.3,-1,1,23.8
183,0.2,6,25.3,0.45,1.6,24.4,48.9,0.23,-2,1,24.6
184,-1.5,53,20.26,0.4,1.1,24.9,39.8,0.15,-2,1,22.7
185,0.3,7,25.86,0.5,1.7,23.6,42.8,0.08,-1,1,22.8
186,0.1,5,25.13,0.5,1.3,24.5,43.9,0.08,-1,1,24.4
187,0.1,5,25.07,0.54,1.3,24.4,43.9,0.08,0,1,24.2
188,-0.5,11,22.92,0.39,1.3,23.3,52.1,0.11,-2,1,23
189,0.2,6,26.63,0.8,1.3,23.1,52.1,0.12,-2,1,23
190,-0.3,7,23.9,0.64,1.2,22.7,51.6,0.09,-2,1,22.6
191,0,5,25.76,0.89,1.2,22.6,51.6,0.1,0,1,22.6
192,0,5,25.25,0.78,1.2,23,51.1,0.08,-1,1,22.7
193,-0.6,12,22.81,0.5,1.2,23.1,50.9,0.09,-1,1,22.7
194,0,5,25.41,0.76,1.3,21.9,52.1,0.09,-1,1,21.9
195,-0.6,12,23.42,0.78,1.2,21.7,53.6,0.15,-2,0,21.3
196,0.1,5,25.06,0.4,1.5,22.9,50.1,0.1,-2,1,23.8
197,-0.4,8,23.74,0.5,1.1,23.8,48,0.07,0,1,23.9
198,0.2,6,26.07,0.56,1.4,23.8,49.1,0.11,-1,1,23.7
