,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Thermal sensation acceptability,Air movement acceptability,Thermal comfort,Air temperature (¡F),Tg_h (¡C),Tg_h (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡F)
98,-0.5,10.0,23.27,0.73,1.2,22.0,51.1,0.11,-2.0,0.0,1.0,4.0,71.7,21.3,70.4,21.1,78.6
99,0.1,5.0,25.56,0.59,1.4,22.1,46.5,0.1,-2.0,0.0,1.0,6.0,71.7,23.0,73.4,20.61,78.6
100,-0.9,22.0,21.93,0.93,1.1,21.6,47.8,0.25,-1.0,1.0,1.0,6.0,70.8,20.6,69.0,50.14,78.6
101,-0.6,13.0,23.29,0.67,1.2,21.6,52.7,0.18,1.0,1.0,1.0,6.0,70.9,21.9,71.5,35.19,78.6
102,-0.8,18.0,22.43,0.65,1.2,22.0,44.3,0.15,-2.0,1.0,1.0,5.0,71.6,21.2,70.1,28.85,78.6
103,0.0,5.0,25.28,0.87,1.1,22.5,50.8,0.07,-1.0,1.0,1.0,5.0,72.5,22.9,73.2,14.33,78.6
104,0.6,14.0,29.37,1.01,1.5,22.8,49.5,0.12,-1.0,1.0,1.0,5.0,73.1,22.9,73.2,24.48,78.6
105,0.2,6.0,26.7,0.85,1.3,23.0,52.7,0.18,-1.0,1.0,1.0,6.0,73.3,23.1,73.6,35.13,78.6
106,-0.6,13.0,23.0,0.65,1.3,21.8,49.0,0.16,-1.0,0.0,1.0,5.0,71.3,21.4,70.6,31.25,78.6
107,0.3,7.0,26.88,0.93,1.3,24.7,53.4,0.18,-2.0,1.0,1.0,5.0,76.4,23.1,73.5,35.06,78.6
108,0.7,15.0,29.72,1.09,1.6,23.4,56.2,0.19,-1.0,1.0,1.0,6.0,74.1,22.4,72.4,37.52,78.6
109,-0.1,5.0,25.01,0.63,1.2,23.5,54.9,0.1,-1.0,1.0,1.0,5.0,74.3,23.5,74.3,20.61,78.6
110,-0.5,11.0,23.09,0.49,1.2,23.5,54.5,0.08,-1.0,1.0,1.0,6.0,74.2,23.2,73.8,16.24,78.6
111,-0.2,6.0,24.24,0.67,1.1,25.5,49.5,0.17,-2.0,1.0,1.0,4.666666666666667,77.9,24.0,75.3,32.73,78.6
112,-0.4,8.0,24.02,0.67,1.1,24.3,48.1,0.19,0.0,0.0,1.0,4.0,75.7,23.8,74.8,36.66,78.6
113,0.3,7.0,27.12,0.95,1.3,23.1,47.4,0.1,-2.0,1.0,1.0,4.0,73.6,22.4,72.3,18.7,78.6
114,-0.7,14.0,23.14,0.71,1.1,22.6,48.5,0.16,-2.0,0.0,1.0,6.0,72.7,22.3,72.1,32.3,78.6
115,0.4,8.0,26.91,0.67,1.4,24.9,45.5,0.13,-2.0,1.0,1.0,5.0,76.8,24.2,75.6,25.9,78.6
116,0.5,10.0,27.29,0.67,1.7,24.1,46.3,0.19,0.0,1.0,1.0,4.0,75.4,23.5,74.4,37.03,78.6
117,-0.4,8.0,23.91,0.73,1.0,24.6,45.8,0.24,0.0,1.0,1.0,4.0,76.2,24.3,75.8,47.74,78.6
118,0.3,7.0,25.67,0.57,1.6,24.6,45.5,0.24,1.0,1.0,1.0,4.0,76.3,24.3,75.7,46.75,78.6
119,0.6,11.0,27.51,0.63,1.6,24.2,46.9,0.07,0.0,1.0,1.0,4.0,75.5,23.7,74.6,14.33,78.6
120,0.8,18.0,29.52,0.91,1.5,25.1,49.2,0.1,1.0,1.0,1.0,5.0,77.1,24.0,75.2,19.62,78.6
121,-0.9,22.0,21.23,0.49,1.3,23.6,46.5,0.28,-2.0,1.0,1.0,3.0,74.5,22.4,72.2,54.99,78.6
122,0.0,5.0,25.18,0.73,1.3,22.8,48.4,0.1,-2.0,1.0,1.0,5.0,73.0,22.1,71.8,18.7,78.6
123,-0.8,20.0,21.68,0.73,1.2,23.2,46.9,0.28,-1.0,1.0,1.0,4.0,73.7,21.6,70.9,55.06,78.6
124,0.3,7.0,26.62,0.73,1.2,23.8,50.8,0.1,-1.0,1.0,1.0,5.0,74.8,24.7,76.4,20.61,78.6
125,-0.6,12.0,22.73,0.73,1.2,23.8,47.9,0.32,-1.0,1.0,1.0,5.0,74.8,22.8,73.1,62.32,78.6
126,-0.2,6.0,24.35,0.57,1.1,24.4,60.7,0.04,-1.0,1.0,1.0,5.0,75.9,23.8,74.9,7.01,78.6
127,0.1,5.0,25.89,0.75,1.1,24.5,59.8,0.19,-2.0,1.0,1.0,5.0,76.1,24.8,76.6,36.6,78.6
128,0.3,7.0,26.45,0.67,1.2,24.4,58.9,0.09,0.0,1.0,1.0,5.0,75.9,24.2,75.6,18.15,78.6
129,0.6,12.0,28.47,0.73,1.4,24.5,61.5,0.13,-1.0,1.0,1.0,5.0,76.0,24.3,75.8,24.91,78.6
130,0.0,5.0,25.5,0.9,1.2,24.3,47.8,0.14,-1.0,1.0,1.0,4.0,75.7,22.9,73.2,27.93,78.6
131,0.5,10.0,27.44,0.99,1.2,24.7,44.7,0.09,-1.0,1.0,1.0,5.0,76.4,23.9,75.0,16.73,78.6
132,0.5,9.0,27.29,0.59,1.2,25.2,70.1,0.18,0.0,1.0,1.0,6.0,77.4,26.0,78.9,34.69,78.6
133,0.1,5.0,24.93,0.65,1.1,25.8,48.6,0.32,-2.0,1.0,1.0,5.0,78.4,25.8,78.4,63.18,78.6
134,0.8,18.0,28.44,0.7,1.4,24.9,42.2,0.03,-1.0,1.0,1.0,5.0,76.8,25.9,78.6,5.6,78.6
135,-0.6,12.0,22.99,0.49,1.2,24.0,64.9,0.12,0.0,1.0,1.0,4.0,75.2,23.0,73.4,23.99,78.6
136,0.5,10.0,28.39,1.01,1.2,23.3,70.3,0.12,-1.0,1.0,1.0,5.0,73.9,23.0,73.3,23.99,78.6
137,-0.5,11.0,22.87,0.59,1.3,23.1,72.0,0.28,-2.0,1.0,1.0,5.0,73.6,22.7,72.8,55.49,78.6
