City,Country,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Outdoor monthly air temperature (¡C),Clo,Met,Thermal sensation
Karachi,Pakistan,25,2,0.04,24.4,24.5,16.8,13.3,1.12,0.89,0
Karachi,Pakistan,25,2,0.09,25.4,25.5,16.8,13.3,1.12,1.01,0
Karachi,Pakistan,25,2,0.09,27.1,26.6,16.8,13.3,1.14,1.01,0
Karachi,Pakistan,25,2,0.14,25.9,25.6,16.9,13.3,0.77,1.88,0
Karachi,Pakistan,25,2,0.05,25,24.9,24.9,13.3,1.26,1.88,0
Karachi,Pakistan,25,2,0.05,24.8,24.9,32.5,13.3,1.28,1.88,0
Karachi,Pakistan,25,2,0.02,24.9,24.6,25.3,13.3,0.77,0.89,0
Karachi,Pakistan,25,2,0.02,24.2,24.2,16.6,13.3,1.24,0.89,0
Karachi,Pakistan,25,2,0.07,23.7,24.2,16.6,13.3,1.24,0.89,-2
Karachi,Pakistan,25,2,0.07,23.1,23.5,16.5,13.3,0.75,0.77,-2
Karachi,Pakistan,25,2,0.04,21.8,22,16.2,13.3,1.26,1.88,-2
Karachi,Pakistan,25,2,0.02,22.8,23,16.2,13.3,0.77,1.88,0
Karachi,Pakistan,25,2,0.05,23.5,23.4,16.7,13.3,0.77,1.88,0
Karachi,Pakistan,25,2,0.02,23.7,23.7,16.8,13.3,0.77,1.88,0
Karachi,Pakistan,25,2,0.09,24.5,24.4,16.8,13.3,1.24,0.89,-1
Karachi,Pakistan,25,2,0.06,24.9,24.8,16.9,13.3,1.24,1.01,-1
Karachi,Pakistan,25,2,0.01,24.6,25.1,16.7,13.3,0.77,1.88,0
Karachi,Pakistan,25,2,0.07,25.8,25.9,16.7,13.3,1.26,0.89,0
Karachi,Pakistan,25,2,0.07,25.5,25.3,16.8,13.3,1.24,1.88,0
Karachi,Pakistan,25,2,0.02,24.7,25,16.8,13.3,0.77,1.01,0
