City,Country,Age,Sex,Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,Thermal sensation
Bangkok,Thailand,30,2,0.13,23.9,24.2,68.1,13.3,0.55,1.1,-1
Bangkok,Thailand,29,2,0.18,24.1,24.7,68.5,13.3,0.55,1.1,-1
Bangkok,Thailand,24,1,0.11,23.8,24.4,68.3,13.3,0.56,1.1,0
Bangkok,Thailand,31,1,0.12,23.3,24,67,13.3,0.56,1.1,0
Bangkok,Thailand,28,2,0.12,22.6,23.5,64.2,13.3,0.55,1.1,-1
Bangkok,Thailand,29,1,0.12,22.5,23.5,64.7,13.3,0.45,1.1,-1
Bangkok,Thailand,29,1,0.14,22.5,23.4,63.8,13.3,0.56,1.1,0
Bangkok,Thailand,27,2,0.11,22.4,23.2,63.6,13.3,0.46,1.1,-1
Bangkok,Thailand,25,2,0.13,22.2,23,64.1,13.3,0.4,1.1,0
Bangkok,Thailand,24,1,0.12,21.8,22.8,64.7,13.3,0.56,1.1,-1
Bangkok,Thailand,38,1,0.12,22.3,23.4,65.1,13.3,0.51,1.1,0
Bangkok,Thailand,40,1,0.11,23,23.9,63.8,13.3,0.56,1.1,0
Bangkok,Thailand,30,2,0.09,22.2,23.1,63.4,13.3,0.63,1.1,-1
Bangkok,Thailand,30,2,0.11,22.2,22.7,63.4,13.3,0.63,1.1,0
Bangkok,Thailand,25,1,0.12,21.9,22.3,64.2,13.3,0.65,1.1,-1
Bangkok,Thailand,37,1,0.12,22.8,23.8,62.1,13.3,0.56,1.1,0
Bangkok,Thailand,25,1,0.14,22.3,23.3,63.7,13.3,0.56,1.1,-1
Bangkok,Thailand,20,2,0.16,22.2,23.2,64.2,13.3,0.51,1.1,2
Bangkok,Thailand,21,2,0.13,22.4,23.2,64,13.3,0.57,1.1,-1
Bangkok,Thailand,55,1,0.12,22.6,23.3,64.1,13.3,0.44,1.1,0
Bangkok,Thailand,29,2,0.15,22.7,23.2,63.7,13.3,0.63,1.1,0
Bangkok,Thailand,36,1,0.13,22.4,23.1,63.8,13.3,0.45,1.1,0
Bangkok,Thailand,28,2,0.13,23.2,24.1,64,13.3,0.55,1.1,0
Bangkok,Thailand,26,1,0.11,23.3,24.3,63.5,13.3,0.56,1.1,2
Bangkok,Thailand,25,2,0.1,23.6,24.7,62.9,13.3,0.55,1.1,1
Bangkok,Thailand,19,1,0.12,23.5,24.6,62.7,13.3,0.65,1.1,-1
Bangkok,Thailand,27,1,0.13,23.5,24.3,62.4,13.3,0.56,1.1,0
Bangkok,Thailand,36,1,0.14,23.4,24.2,63,13.3,0.56,1.1,1
Bangkok,Thailand,31,1,0.12,23,23.5,63.4,13.3,0.56,1.1,0
Bangkok,Thailand,35,2,0.13,23,23.7,63.2,13.3,0.45,1.1,-1
Bangkok,Thailand,22,2,0.16,22.4,23.2,64.5,13.3,0.52,1.1,0
Bangkok,Thailand,28,2,0.12,22.1,22.5,65.6,13.3,0.55,1.1,0
Bangkok,Thailand,23,2,0.13,22,22.7,65.9,13.3,0.49,1.1,0
Bangkok,Thailand,26,2,0.12,22.4,23.1,65.3,13.3,0.7,1.1,-1
Bangkok,Thailand,32,2,0.14,22.6,23.8,62.2,13.3,0.55,1.1,-1
Bangkok,Thailand,26,1,0.12,22.3,23.4,62.1,13.3,0.65,1.1,0
Bangkok,Thailand,24,2,0.11,23.3,23.8,65.5,13.3,0.59,1.1,0
Bangkok,Thailand,29,2,0.12,23.1,24.1,65.1,13.3,0.47,1.1,0
Bangkok,Thailand,26,2,0.12,22.9,23.9,65.3,13.3,0.66,1.1,0
Bangkok,Thailand,29,2,0.12,23.5,24.4,65.2,13.3,0.79,1.1,0
Bangkok,Thailand,25,2,0.12,22.9,23.4,63.6,13.3,0.46,1.1,-1
Bangkok,Thailand,30,2,0.09,21.7,22.8,70.3,13.3,0.55,1.1,-1
Bangkok,Thailand,36,2,0.13,21.4,22.1,71.5,13.3,0.52,1.1,-1
Bangkok,Thailand,25,2,0.14,21.4,21.7,71.7,13.3,0.43,1.1,0
Bangkok,Thailand,25,2,0.12,22.5,23.4,69.7,13.3,0.46,1.1,-1
Bangkok,Thailand,26,2,0.14,23.2,24.3,67.8,13.3,0.43,1.1,2
Bangkok,Thailand,25,2,0.21,22.9,23.7,68.1,13.3,0.56,1.1,0
Bangkok,Thailand,21,2,0.13,22.7,23.1,68.6,13.3,0.6,1.1,-2
Bangkok,Thailand,30,2,0.11,22.9,23.3,67.8,13.3,0.63,1.1,0
Bangkok,Thailand,25,1,0.1,23.2,24,67.5,13.3,0.45,1.1,1
Bangkok,Thailand,30,2,0.11,23.2,24.3,66.7,13.3,0.59,1.1,-1
Bangkok,Thailand,31,2,0.12,23.1,24,66.6,13.3,0.46,1.1,2
Bangkok,Thailand,33,1,0.14,20.9,22.3,65.6,13.3,0.65,1.1,-2
Bangkok,Thailand,45,2,0.17,20.8,22.2,66,13.3,0.96,1.1,-2
Bangkok,Thailand,56,2,0.1,21.4,21.7,72.9,13.3,0.57,1.1,0
Bangkok,Thailand,32,2,0.11,21.9,22.7,65.1,13.3,0.8,1.1,-1
Bangkok,Thailand,25,2,0.11,22.7,23.8,68.3,13.3,0.48,1.1,0
Bangkok,Thailand,27,1,0.12,22.2,22.5,70.1,13.3,0.56,1.1,-1
Bangkok,Thailand,22,1,0.11,21.8,22.7,66.8,13.3,0.65,1.1,-2
Bangkok,Thailand,29,1,0.13,22.4,22.9,67.8,13.3,0.56,1.1,0
Bangkok,Thailand,22,2,0.11,22.7,22.9,67.2,13.3,0.55,1.1,-1
Bangkok,Thailand,22,2,0.11,22.2,22.7,73.2,13.3,0.72,1.1,-1
Bangkok,Thailand,24,2,0.11,22.6,23,72,13.3,0.55,1.1,0
Bangkok,Thailand,26,2,0.11,22.3,22.6,71.9,13.3,0.71,1.1,0
Bangkok,Thailand,21,2,0.11,22.4,22.5,71.9,13.3,0.81,1.1,-1
Bangkok,Thailand,31,2,0.1,22.4,22.9,73.4,13.3,0.46,1.1,2
Bangkok,Thailand,23,2,0.1,23,23.1,79.3,13.3,0.88,1.1,0
Bangkok,Thailand,31,2,0.13,22.8,23,75.5,13.3,0.55,1.1,0
Bangkok,Thailand,23,2,0.12,23,23.3,75,13.3,0.63,1.1,-1
Bangkok,Thailand,31,1,0.1,23.1,23.5,74.2,13.3,0.56,1.1,-1
Bangkok,Thailand,34,2,0.18,23.3,24.3,74,13.3,0.63,1.1,0
Bangkok,Thailand,21,2,0.11,23.7,24.1,73.5,13.3,0.43,1.1,-1
Bangkok,Thailand,23,2,0.13,23.5,23.8,69.8,13.3,0.38,1.1,-2
Bangkok,Thailand,22,2,0.12,23,23.2,70,13.3,0.55,1.1,-2
Bangkok,Thailand,25,2,0.11,22.9,23.3,68.3,13.3,0.63,1.1,0
Bangkok,Thailand,28,1,0.1,22.6,23.2,68.5,13.3,0.56,1.1,-1
Bangkok,Thailand,41,1,0.13,22,22.4,71.2,13.3,0.65,1.1,-1
Bangkok,Thailand,28,2,0.1,22.1,22.2,71.3,13.3,0.75,1.1,0
Bangkok,Thailand,23,2,0.11,22.5,22.6,71.6,13.3,0.46,1.1,1
Bangkok,Thailand,32,2,0.11,22.6,22.9,67.4,13.3,0.46,1.1,0
Bangkok,Thailand,26,1,0.16,22.3,23.1,59.7,13.3,0.56,1.1,-1
Bangkok,Thailand,22,1,0.18,21.8,23.5,61.4,13.3,0.56,1.1,0
Bangkok,Thailand,31,1,0.14,21.5,22.8,60.4,13.3,0.45,1.1,0
Bangkok,Thailand,37,1,0.13,21.7,22.8,59.7,13.3,0.65,1.1,0
Bangkok,Thailand,26,1,0.13,22.3,22.8,58.8,13.3,0.56,1.1,-1
Bangkok,Thailand,31,1,0.13,23.1,23.4,57.9,13.3,0.56,1.1,1
Bangkok,Thailand,32,1,0.11,23,23.9,58.1,13.3,0.56,1.1,0
Bangkok,Thailand,23,2,0.16,22.3,23.2,59.4,13.3,0.8,1.1,-1
Bangkok,Thailand,28,1,0.14,21.4,22.3,60,13.3,0.56,1.1,-1
Bangkok,Thailand,29,1,0.11,21.3,22.2,60.1,13.3,0.56,1.1,-1
Bangkok,Thailand,31,1,0.12,21.3,22.1,58.9,13.3,0.56,1.1,-1
Bangkok,Thailand,25,2,0.13,21.1,21.6,58.6,13.3,0.59,1.1,-1
Bangkok,Thailand,21,2,0.14,20.8,21.9,58.6,13.3,0.55,1.1,-1
Bangkok,Thailand,30,1,0.14,22.2,23,57.8,13.3,0.56,1.1,-1
Bangkok,Thailand,23,2,0.1,22.5,23.3,56.9,13.3,0.41,1.1,0
Bangkok,Thailand,41,1,0.11,22.9,23.5,56.1,13.3,0.56,1.1,0
Bangkok,Thailand,23,1,0.12,22.9,23.6,55.4,13.3,0.56,1.1,0
Bangkok,Thailand,26,2,0.11,22.7,23.2,55.9,13.3,0.46,1.1,-1
Bangkok,Thailand,26,2,0.11,22.8,23.4,54.9,13.3,0.59,1.1,-1
Bangkok,Thailand,33,1,0.14,22.8,23.3,55,13.3,0.56,1.1,-1
Bangkok,Thailand,26,2,0.11,22.6,23,55,13.3,0.52,1.1,0
Bangkok,Thailand,35,1,0.14,22.3,23,54.7,13.3,0.56,1.1,-1
Bangkok,Thailand,22,2,0.12,22.3,22.8,59,13.3,0.81,1.1,-1
Bangkok,Thailand,23,1,0.13,22.4,23.2,61.9,13.3,0.56,1.1,1
Bangkok,Thailand,24,1,0.13,22,22.5,61.8,13.3,0.56,1.1,0
Bangkok,Thailand,30,2,0.15,22,22.5,61.2,13.3,0.97,1.1,-2
Bangkok,Thailand,33,2,0.2,21.7,22.5,60,13.3,0.63,1.1,-2
Bangkok,Thailand,28,2,0.12,22.2,23,59.1,13.3,0.63,1.1,-1
Bangkok,Thailand,24,2,0.09,22.9,23.3,58.1,13.3,0.55,1.1,-2
Bangkok,Thailand,25,2,0.14,21.3,21.8,60.8,13.3,0.56,1.1,-2
Bangkok,Thailand,29,2,0.13,20.5,21,61.9,13.3,0.56,1.1,-2
Bangkok,Thailand,27,1,0.1,20.8,21.4,62,13.3,0.56,1.1,0
Bangkok,Thailand,22,1,0.1,21.6,22.2,60.8,13.3,0.65,1.1,-1
Bangkok,Thailand,32,1,0.11,21.9,22.7,59.6,13.3,0.56,1.1,0
Bangkok,Thailand,32,2,0.11,22.1,22.6,59,13.3,0.47,1.1,0
Bangkok,Thailand,25,2,0.13,22.1,22.8,58.7,13.3,0.55,1.1,0
Bangkok,Thailand,24,2,0.1,22.1,22.6,58.8,13.3,0.63,1.1,0
Bangkok,Thailand,22,1,0.13,22.1,22.5,59.4,13.3,0.45,1.1,-2
Bangkok,Thailand,29,1,0.12,22.2,22.6,59.1,13.3,0.56,1.1,0
Bangkok,Thailand,31,1,0.12,22.5,22.9,58.4,13.3,0.56,1.1,0
