,Country,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,Air temperature (¡F),Tg_h (¡C),Tg_h (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
38,Philippines,0.5,10,27.21,0.73,1.3,24.3,37.4,0.1,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2,1,no change,0,no change,5,75.7,25,77,19.62,25.9,78.6,Database 2
39,Philippines,0.2,6,26.32,0.67,1.5,23.7,38.7,0.13,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0,1,no change,1,,6,74.6,23.1,73.6,26.45,25.9,78.6,Database 2
40,Philippines,-1.3,39,22.62,0.55,0.9,23.4,43.9,0.13,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0,1,no change,1,more,6,74.1,23.5,74.3,25.47,25.9,78.6,Database 2
41,Philippines,-0.6,11,22.36,0.88,1.1,26,37.3,0.27,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2,1,no change,1,,6,78.9,22.6,72.7,52.6,25.9,78.6,Database 2
42,Philippines,-0.5,10,23.16,0.49,1.4,22.9,42.8,0.12,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,0,1,no change,1,more,3,73.1,22.1,71.8,23.07,25.9,78.6,Database 2
43,Philippines,0,5,24.16,0.49,1.6,24.5,41,0.26,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,1,1,no change,0,more,3,76.1,23.7,74.7,51.12,25.9,78.6,Database 2
44,Philippines,-0.6,12,22.78,0.68,1.2,24,43.1,0.23,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2,1,warmer,1,no change,6,75.3,22.7,72.9,45.83,25.9,78.6,Database 2
45,Philippines,-0.3,6,24.52,0.73,1.2,23,44.9,0.15,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,1,1,cooler,1,more,5,73.4,22.6,72.6,29.34,25.9,78.6,Database 2
46,Philippines,0,5,25.5,0.73,1.3,22.8,44.1,0.14,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-1,1,no change,1,more,5,73.1,22.8,73.1,27.87,25.9,78.6,Database 2
47,Philippines,-0.1,5,25.05,0.66,1.4,22.5,45.4,0.15,"Andamon, Mary Myla. ""Thermal comfort and building energy consumption in the Philippine context."" PLEA 2006-The 23rd Conference on Passive and Low Energy Architecture. 2006.",Myla Mary Andamon,2003,Summer,Aw,Tropical wet savanna,Makati,Office,Air Conditioned,-2,1,no change,1,more,5,72.5,22.4,72.4,29.22,25.9,78.6,Database 2
