,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡F)
397,-0.4,8.0,23.87,0.73,1.2,21.9,24.6,0.0,0.0,71.4,22.6,72.7,22.5,72.5,0.0,0.0,33.3
398,0.5,10.0,27.87,0.96,1.6,21.9,26.5,0.0,0.0,71.4,22.7,72.9,22.6,72.7,0.0,0.0,33.3
399,0.1,5.0,26.38,1.13,1.2,21.9,24.3,0.0,-2.0,71.4,22.3,72.1,22.2,72.0,1.0,0.0,33.3
400,0.2,6.0,26.2,0.7,1.7,21.0,26.2,0.0,0.0,69.8,21.7,71.1,21.7,71.1,0.0,0.0,33.3
401,0.4,9.0,27.55,0.9,1.6,22.1,26.7,0.0,0.0,71.8,22.9,73.2,22.7,72.9,0.0,0.0,33.3
402,0.0,5.0,25.73,0.93,1.3,21.3,26.8,0.0,-1.0,70.3,22.3,72.1,22.2,72.0,0.0,0.0,33.3
403,0.8,17.0,29.32,0.83,2.0,21.5,27.6,0.0,0.0,70.7,22.3,72.1,22.2,72.0,1.0,0.0,33.3
404,0.4,8.0,27.53,0.96,1.6,21.3,28.6,0.0,-1.0,70.3,22.5,72.5,22.1,71.8,0.0,0.0,33.3
405,0.6,12.0,28.47,0.94,1.7,21.3,26.8,0.0,0.0,70.3,22.3,72.1,22.0,71.6,1.0,0.0,33.3
406,0.4,8.0,27.4,0.96,1.6,20.8,27.4,0.0,0.0,69.4,23.0,73.4,22.3,72.1,0.0,0.0,33.3
407,0.1,5.0,26.15,1.08,1.2,21.7,26.9,0.0,-1.0,71.1,22.5,72.5,22.4,72.3,1.0,0.0,33.3
408,-0.1,5.0,25.27,0.82,1.2,22.7,24.7,0.1,0.0,72.9,23.4,74.1,23.1,73.6,0.0,19.69,39.0
409,0.4,8.0,27.35,1.09,1.2,23.2,23.9,0.1,0.0,73.8,23.8,74.8,23.6,74.5,0.0,19.69,39.0
410,-0.3,7.0,24.13,0.68,1.2,22.6,25.1,0.0,0.0,72.7,23.3,73.9,23.2,73.8,0.0,0.0,39.0
411,-0.1,5.0,25.02,0.81,1.2,22.4,26.1,0.0,-1.0,72.3,23.5,74.3,23.3,73.9,0.0,0.0,39.0
412,0.7,15.0,28.87,0.95,1.7,22.6,24.5,0.0,-1.0,72.7,23.2,73.8,23.0,73.4,0.0,0.0,39.0
413,-0.2,5.0,24.89,0.87,1.2,21.9,25.3,0.0,-1.0,71.4,23.0,73.4,22.6,72.7,1.0,0.0,39.0
414,0.1,5.0,25.72,0.9,1.2,22.8,24.2,0.0,0.0,73.0,23.6,74.5,23.3,73.9,0.0,0.0,39.0
415,0.1,5.0,25.95,0.89,1.2,23.0,22.2,0.0,0.0,73.4,24.1,75.4,23.9,75.0,1.0,0.0,39.0
416,0.3,7.0,27.01,1.08,1.2,23.0,22.5,0.0,0.0,73.4,23.7,74.7,23.6,74.5,0.0,0.0,39.0
417,-0.2,6.0,24.61,0.68,1.2,22.6,23.7,0.1,0.0,72.7,24.0,75.2,23.4,74.1,0.0,19.69,39.0
418,0.1,5.0,25.38,0.67,1.4,22.9,22.8,0.0,0.0,73.2,23.8,74.8,23.6,74.5,0.0,0.0,39.0
419,0.0,5.0,25.13,0.73,1.2,22.9,25.5,0.0,0.0,73.2,24.7,76.5,24.3,75.7,0.0,0.0,39.0
420,0.1,5.0,25.11,0.6,1.3,23.8,21.9,0.0,0.0,74.8,24.5,76.1,24.3,75.7,0.0,0.0,39.0
421,0.0,5.0,25.5,0.77,1.2,23.2,22.9,0.1,0.0,73.8,24.2,75.6,23.8,74.8,0.0,19.69,39.0
422,0.2,6.0,26.21,0.82,1.2,23.7,22.0,0.1,0.0,74.7,24.8,76.6,24.3,75.7,-1.0,19.69,39.0
423,-0.2,6.0,24.56,0.73,1.2,22.7,22.6,0.0,0.0,72.9,23.5,74.3,23.4,74.1,1.0,0.0,39.0
