,Country,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Thermal sensation,Thermal preference,Air movement preference,Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity preference,Humidity sensation,Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
33,Portugal,0.2,6,24.38,0.61,1.6,23.9,58.8,1.4,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0,no change,no change,75,28.4,83.1,25.1,77.2,drier,-1,275.59,17.9,64.3,Database 2
34,Portugal,-0.1,5,24.19,0.68,1.2,24.8,57.7,0.7,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0,cooler,no change,76.6,26.1,79,25.2,77.4,no change,0,137.8,17.9,64.3,Database 2
35,Portugal,0.3,6,24.92,0.58,1.4,24.9,57.5,0.7,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,-1,no change,no change,76.8,27.4,81.3,25.6,78.1,no change,0,137.8,17.9,64.3,Database 2
36,Portugal,-0.3,6,23.48,0.59,1.2,25.1,57,1.5,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0,no change,no change,77.2,28.7,83.7,26,78.8,no change,0,295.28,17.9,64.3,Database 2
37,Portugal,-0.2,5,23.81,0.63,1.2,25,56.9,1.4,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,-1,no change,less,77,28.5,83.3,25.9,78.6,no change,0,275.59,17.9,64.3,Database 2
38,Portugal,-0.2,5,23.72,0.58,1.2,25.4,55.1,1.4,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0,no change,no change,77.7,28.6,83.5,26.3,79.3,no change,0,275.59,17.9,64.3,Database 2
39,Portugal,0.1,5,24.49,0.58,1.2,25.8,53.8,1.3,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,2,cooler,less,78.4,30,86,26.9,80.4,no change,0,255.91,17.9,64.3,Database 2
40,Portugal,-0.2,6,23.84,0.63,1.1,25.3,56.1,0.8,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1,cooler,less,77.5,27.1,80.8,25.9,78.6,no change,0,157.48,17.9,64.3,Database 2
41,Portugal,0.9,21,27.86,0.82,1.6,25.5,55.8,0.8,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0,no change,no change,77.9,27.5,81.5,26.1,79,no change,0,157.48,17.9,64.3,Database 2
42,Portugal,0.1,5,24.12,0.57,1.3,25.7,55.8,1.6,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,0,no change,no change,78.3,29.7,85.5,26.7,80.1,no change,0,314.96,17.9,64.3,Database 2
43,Portugal,0.2,6,24.41,0.65,1.2,27,59.4,2.1,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Office,Naturally Ventilated,Mechanical Heating,1,cooler,less,80.6,27.8,82,27.2,81,more humid,2,413.39,17.9,64.3,Database 2
44,Portugal,0.2,6,26.8,0.77,1.2,22.5,63.2,0.11,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,1,cooler,no change,72.5,23.8,74.8,23.8,74.8,no change,0,21.65,16.1,61,Database 2
45,Portugal,0.4,8,27.42,0.73,1.2,23.8,60,0.12,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,2,no change,no change,74.8,24.9,76.8,24.8,76.6,no change,1,23.62,16.1,61,Database 2
46,Portugal,0.9,21,29.88,1.03,1.2,24,59.8,0.11,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,0,no change,no change,75.2,25.2,77.4,25.2,77.4,drier,-1,21.65,16.1,61,Database 2
47,Portugal,0.5,11,28.37,1.03,1.2,22.5,63.3,0.22,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998,Autumn,Csb,Warm-summer Mediterranean,Porto,Others,Mixed Mode,Mechanical Heating,0,no change,no change,72.5,24.3,75.7,24.2,75.6,drier,-1,43.31,16.1,61,Database 2
