PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation
2.2,86,33.2,0.64,1,31.6,66,0.15,2
2.2,86,33.2,0.64,1,31.6,66,0.15,2
2.4,91,34.67,0.9,1,31.6,66,0.15,2
2.4,91,34.67,0.9,1,31.6,66,0.15,2
2.2,87,33.21,0.75,1,31.4,68,0.21,2
2.2,85,33.31,0.64,1,31.4,68,0.15,0
2.2,85,33.31,0.64,1,31.4,68,0.15,2
2.3,87,33.67,0.7,1,31.4,68,0.15,2
2.3,87,33.67,0.7,1,31.4,68,0.15,2
2.3,88,33.73,0.64,1,31.8,67,0.13,0
2.4,90,34.36,0.75,1,31.8,67,0.13,2
2.4,90,34.36,0.75,1,31.8,67,0.13,2
2.3,88,33.73,0.64,1,31.8,67,0.13,1
2.4,92,35.16,0.9,1,31.8,67,0.13,2
2.4,90,34.36,0.75,1,31.8,67,0.13,1
2.4,90,34.36,0.75,1,31.8,67,0.13,2
0.1,5,25.42,0.72,1,25.8,45,0,0
0.2,6,25.62,0.75,1,25.8,45,0,-1
0.2,6,25.62,0.75,1,25.8,45,0,-1
0.2,6,25.62,0.75,1,25.8,45,0,2
0.2,6,25.62,0.75,1,25.8,45,0,-2
0.5,10,27.04,0.97,1,25.8,45,0,2
-0.1,5,25.14,0.79,1,24.2,48,0,-1
-0.3,7,24.23,0.66,1,24.2,48,0,-2
0.2,6,26.32,0.97,1,24.2,48,0,-1
-0.2,6,24.52,0.7,1,24.2,48,0,1
-0.2,6,24.52,0.7,1,24.2,48,0,1
-0.2,6,24.83,0.75,1,26.2,41,0.15,0
-0.4,8,24.07,0.64,1,26.2,41,0.15,1
-0.2,6,24.63,0.72,1,26.2,41,0.15,2
-0.3,6,24.49,0.7,1,26.2,41,0.15,-1
-0.4,8,24.07,0.64,1,26.2,41,0.15,-2
0.6,13,26.9,0.75,1,28.6,44,0.21,-1
0.6,12,26.7,0.72,1,28.6,44,0.21,-2
0.2,6,25.82,0.62,1,26.2,53,0.08,0
0.3,7,26.03,0.65,1,26.2,53,0.08,-1
0.3,7,25.96,0.64,1,26.2,53,0.08,2
0.3,7,25.96,0.64,1,26.2,53,0.08,-1
-0.4,8,24.44,0.64,1,23.6,50,0.12,1
-0.4,8,24.44,0.64,1,23.6,50,0.12,2
-0.3,7,24.86,0.7,1,23.6,50,0.12,1
-0.4,8,24.44,0.64,1,23.6,50,0.12,2
-0.3,7,24.86,0.7,1,23.6,50,0.12,0
-0.4,8,24.44,0.64,1,23.6,50,0.12,-1
-0.3,7,24.86,0.7,1,23.6,50,0.12,2
-0.2,6,25.14,0.74,1,23.6,50,0.12,-2
-0.2,6,25.14,0.74,1,23.6,50,0.12,-2
-0.4,8,24.44,0.64,1,23.6,50,0.12,0
-0.4,8,24.44,0.64,1,23.6,50,0.12,-2
-0.3,7,24.86,0.7,1,23.6,50,0.12,0
0.9,24,28.4,0.7,1,28.3,49,0.11,2
0.9,21,28.01,0.64,1,28.3,49,0.11,0
0.9,21,28.01,0.64,1,28.3,49,0.11,-1
0.9,21,28.01,0.64,1,28.3,49,0.11,-1
0.9,21,28.01,0.64,1,28.3,49,0.11,2
0.9,21,28.01,0.64,1,28.3,49,0.11,-1
0.4,8,26.26,0.62,1,26.9,47,0.22,2
0.6,11,26.98,0.73,1,26.9,47,0.22,-1
0.5,10,26.65,0.68,1,26.9,47,0.22,-1
0.5,10,26.65,0.68,1,26.9,47,0.22,-1
0.4,8,26.26,0.62,1,26.9,47,0.22,-2
0.4,8,26.26,0.62,1,26.9,47,0.22,-2
0.5,10,26.65,0.68,1,26.9,47,0.22,-2
0.4,8,26.26,0.62,1,26.9,47,0.22,-2
0.5,10,26.65,0.68,1,26.9,47,0.22,-1
0.5,10,26.65,0.68,1,26.9,47,0.22,0
0.4,8,26.26,0.62,1,26.9,47,0.22,-2
0.5,10,26.65,0.68,1,26.9,47,0.22,-2
0.4,8,26.26,0.62,1,26.9,47,0.22,2
0.4,8,26.26,0.62,1,26.9,47,0.22,-1
0.4,8,26.33,0.63,1,26.9,47,0.22,-1
0.4,8,26.33,0.63,1,26.9,47,0.22,2
0.4,9,26.92,0.75,1,24.9,47,0.1,0
0.4,9,26.92,0.75,1,24.9,47,0.1,-1
0.4,9,26.92,0.75,1,24.9,47,0.1,-2
0.7,15,28.24,0.97,1,24.9,47,0.1,-1
0.2,6,26.22,0.64,1,24.9,47,0.1,-1
0.2,6,26.22,0.64,1,24.9,47,0.1,1
0.3,7,26.6,0.7,1,24.9,47,0.1,0
0.7,15,28.24,0.97,1,24.9,47,0.1,2
0.4,8,26.73,0.72,1,24.9,47,0.1,-1
0.8,20,27.01,0.66,1,28,47,0.44,-1
0.9,23,27.4,0.72,1,28,47,0.44,2
0.8,20,27.01,0.66,1,28,47,0.44,-2
1.2,37,28.95,0.97,1,28,47,0.44,-1
0.9,23,27.4,0.72,1,28,47,0.44,-2
0.9,23,27.4,0.72,1,28,47,0.44,-1
0.9,23,27.4,0.72,1,28,47,0.44,-2
2.3,89,33.64,0.7,1,32,63,0.14,1
2.3,89,33.64,0.7,1,32,63,0.14,2
2.3,88,33.29,0.64,1,32,63,0.14,2
2.3,89,33.64,0.7,1,32,63,0.14,2
2.3,89,33.64,0.7,1,32,63,0.14,2
-0.9,21,22.78,0.75,1,23.2,69,1.08,-1
-1.3,39,21.84,0.64,1,23.2,69,1.08,-2
-1.3,39,21.84,0.64,1,23.2,69,1.08,-2
-1.2,35,22.02,0.66,1,23.2,69,1.08,0
-0.6,13,23.5,0.84,1,23.2,69,1.08,-2
-0.6,13,23.5,0.84,1,23.2,69,1.08,-1
-1.2,35,22.02,0.66,1,23.2,69,1.08,-2
-1.2,35,22.02,0.66,1,23.2,69,1.08,-2
-1.2,35,22.02,0.66,1,23.2,69,1.08,-2
-0.6,13,23.5,0.84,1,23.2,69,1.08,-1
-1,25,22.53,0.72,1,23.2,69,1.08,-1
-1,25,22.53,0.72,1,23.2,69,1.08,-1
-1,25,22.53,0.72,1,23.2,69,1.08,-1
-1,25,22.53,0.72,1,23.2,69,1.08,-2
-1,25,22.53,0.72,1,23.2,69,1.08,-1
1.2,34,29.51,0.97,1,27,52,0.23,-2
1.2,34,29.51,0.97,1,27,52,0.23,-1
1,27,28.74,0.84,1,27,52,0.23,-2
1.2,34,29.51,0.97,1,27,52,0.23,-2
1.2,34,29.51,0.97,1,27,52,0.23,-2
1.2,34,29.51,0.97,1,27,52,0.23,2
1,27,28.74,0.84,1,27,52,0.23,1
0.9,21,27.99,0.72,1,27,52,0.23,-1
0.9,21,27.99,0.72,1,27,52,0.23,0
0.8,17,27.61,0.66,1,27,52,0.23,-1
0.9,21,27.99,0.72,1,27,52,0.23,-1
1,27,28.74,0.84,1,27,52,0.23,2
1,27,28.74,0.84,1,27,52,0.23,0
0.8,18,28.27,0.84,1,26.6,51,0.11,-2
0.8,18,28.27,0.84,1,26.6,51,0.11,2
0.9,23,29.06,0.97,1,26.6,51,0.11,2
0.8,18,28.27,0.84,1,26.6,51,0.11,2
0.8,18,28.27,0.84,1,26.6,51,0.11,2
0.8,18,28.27,0.84,1,26.6,51,0.11,2
0.8,18,28.27,0.84,1,26.6,51,0.11,2
0.9,23,29.06,0.97,1,26.6,51,0.11,-2
0.9,23,29.06,0.97,1,26.6,51,0.11,2
0.9,23,29.06,0.97,1,26.6,51,0.11,2
0.9,23,29.06,0.97,1,26.6,51,0.11,-2
0.9,23,29.06,0.97,1,26.6,51,0.11,-2
0.8,18,28.27,0.84,1,26.6,51,0.11,-2
0.9,23,29.06,0.97,1,26.6,51,0.11,2
2.5,94,34.91,0.84,1,31.6,67,0.03,2
2.5,94,34.91,0.84,1,31.6,67,0.03,1
2.5,92,34.15,0.7,1,31.6,67,0.03,2
2.5,94,34.91,0.84,1,31.6,67,0.03,1
2.5,92,34.15,0.7,1,31.6,67,0.03,1
2.5,92,34.15,0.7,1,31.6,67,0.03,2
1.9,70,30.19,0.7,1,30.9,72,0.78,2
1.9,70,30.19,0.7,1,30.9,72,0.78,2
1.9,71,30.77,0.64,1.2,30.9,72,0.78,0
1.9,70,30.19,0.7,1,30.9,72,0.78,1
1.9,70,30.19,0.7,1,30.9,72,0.78,2
1.9,71,30.36,0.72,1,30.9,72,0.78,2
0.3,7,25.51,0.7,1,27.4,56,0.44,-1
0.9,21,28.22,0.73,1,27.1,63,0.01,-2
0.7,16,27.58,0.64,1,27.1,63,0.01,-2
0.8,20,28.15,0.72,1,27.1,63,0.01,2
1.1,29,28.95,0.84,1,27.7,55,0.03,-1
-0.2,6,27.41,0.84,0.7,27.7,55,0.03,-1
1.1,28,29.02,0.64,1.2,27.7,55,0.03,0
1.6,58,33.34,0.6,2,27.7,55,0.03,-1
1.4,47,29.88,0.7,1,29,56,0.02,2
1.4,47,29.88,0.7,1,29,56,0.02,1
1.4,47,29.88,0.7,1,29,56,0.02,-1
0.3,7,28.57,0.7,0.7,29,56,0.02,1
1.3,40,27.58,0.72,1,30.3,53,0.85,2
1.3,40,27.58,0.72,1,30.3,53,0.85,0
1.2,35,27.13,0.66,1,30.3,53,0.85,1
1.3,40,27.58,0.72,1,30.3,53,0.85,1
0.9,22,26.68,0.75,1.2,29.8,51,0.7,0
0.5,11,25.4,0.72,1,29.8,51,0.7,0
0.9,20,26.43,0.72,1.2,29.8,51,0.7,0
1.2,35,29.48,0.7,1.2,29.2,48,0.04,0
1,26,28.24,0.72,1,29.2,48,0.04,0
-1.7,62,18.29,0.68,1,27.6,45,0.62,-1
-1.5,54,18.68,0.72,1,27.6,45,0.62,-1
-1.6,58,18.49,0.7,1,27.6,45,0.62,-2
-1.6,58,18.49,0.7,1,27.6,45,0.62,1
1.3,38,27.43,0.7,1,30.3,53,0.85,1
1.5,51,30.62,0.82,1,28.9,50,0.12,0
1.4,46,30.05,0.72,1,28.9,50,0.12,0
1.4,46,30.05,0.72,1,28.9,50,0.12,0
1.4,44,29.82,0.68,1,28.9,50,0.12,1
1.3,41,29.46,0.62,1,28.9,50,0.12,2
1.4,46,30.05,0.72,1,28.9,50,0.12,2
3,99,35.42,0.64,1,33.2,69,0.27,2
3,99,35.76,0.7,1,33.2,69,0.27,2
3,99,35.88,0.72,1,33.2,69,0.27,2
