Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,PPD,SET,Thermal sensation,Country
0.13,15.3,25,62,13,1.09,1,32,21.45666667,-2,Tunisia
0.12,15.3,25.3,62,13,1.72,1.6,32,21.45666667,-2,Tunisia
0.12,15.3,25.6,62,13,0.99,1.1,32,21.45666667,-2,Tunisia
0.09,15.3,25.5,66,13,0.94,1.2,32,21.45666667,-2,Tunisia
0.12,15.3,23.8,70,13,1.69,1.5,29.33333333,22.14666667,-2,Tunisia
0.13,15.3,23.8,66,13,1.27,1,29.33333333,22.14666667,-2,Tunisia
0.17,15.3,24.2,68,13,1.19,1,29.33333333,22.14666667,-2,Tunisia
0.12,15.3,25.1,65,13,1.68,1.2,29.33333333,22.14666667,-2,Tunisia
0.11,15.3,24.3,74,13,1.5,1.2,29.33333333,22.14666667,-2,Tunisia
0.13,15.3,24.9,65,13,1.27,1,29.33333333,22.14666667,0,Tunisia
0.1,15.5,26,63,13,1.17,1.2,25,21.4,-2,Tunisia
0.2,15.3,23.5,66,13,1.26,1,55,20.33,-2,Tunisia
0.24,15.3,23.2,72,13,1.45,1.2,29.33333333,22.14666667,-2,Tunisia
0.12,15.73333333,23.7,62,13,0.73,1,28.66666667,22.36666667,-2,Tunisia
0.16,15.1,23.4,72,13,1.67,1.2,8,24.71,-2,Tunisia
0.23,15.73333333,24,62,13,1.07,1.6,28.66666667,22.36666667,-2,Tunisia
0.12,15.23333333,23.9,78,13,1.57,1,25.33333333,22.65333333,-2,Tunisia
0.13,15.23333333,25.2,73,13,1.54,1.6,25.33333333,22.65333333,-2,Tunisia
0.13,15.23333333,25.3,67,13,1.31,1.2,25.33333333,22.65333333,0,Tunisia
0.24,16.4,26.4,56,13,1.75,1.2,6,25.37,-2,Tunisia
0.12,16.1,26.5,63,13,1.39,1,33,22.12333333,-1,Tunisia
0.12,16.1,26.1,62.5,13,1.07,1.2,33,22.12333333,-2,Tunisia
0.09,16.6,24.8,59,13,0.79,1.1,80,18.08,0,Tunisia
0.1,15.66666667,26.4,68,13,1.01,1.2,33.66666667,21.90333333,-2,Tunisia
0.1,15.3,23.1,70,13,1.37,1.2,13,22.92,-2,Tunisia
0.15,16.1,24.2,55,13,1.37,1.2,60.33333333,20.30666667,-1,Tunisia
0.13,15.2,24.2,72,13,0.56,1.6,57.33333333,19.61,0,Tunisia
0.13,15.2,23.9,70,13,0.93,1.2,57.33333333,19.61,0,Tunisia
0.13,15.2,24.3,67,13,0.84,1,57.33333333,19.61,-2,Tunisia
