Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,PPD,SET,Thermal sensation,Country
0.09,17.9,25.6,50.6,13,0.9,1.1,40,20.59,-1,Australia
0.07,22.6,25.6,37.8,13,0.8,1.2,5,25.04,1,Australia
0.06,19.9,25.6,42.6,13,0.8,1.1,25,21.96,-1,Australia
0.09,22.1,25.6,37.7,13,1.07,1.1,5,25.48,-1,Australia
0.11,23,25.6,36.3,13,0.65,1.1,12,23.44,1,Australia
0.06,18.5,25.6,46.3,13,0.86,1.1,35,21.09,-1,Australia
0.1,21.6,25.6,39.6,13,0.8,1.3,5,24.97,0,Australia
0.13,23.8,25.6,35.6,13,0.89,1.6,13,28.71,0,Australia
0.04,20.9,25.6,43.2,13,0.92,1.3,5,24.92,-1,Australia
0.07,23,25.6,36.4,13,0.49,1.1,27,22.03,1,Australia
0.12,22.2,25.6,50,13,1.06,1.3,6,27.2,0,Australia
0.08,21.4,25.6,53.6,13,0.85,1.1,12,23.24,0,Australia
0.11,23.7,25.6,43.9,13,0.82,1.3,8,27.11,1,Australia
0.07,21.5,25.6,51.3,13,1.09,1.1,5,25.8,-2,Australia
0.08,20.1,25.6,53.8,13,0.8,1.2,15,22.66,0,Australia
0.04,21.6,25.6,51.2,13,0.82,1.1,8,23.88,-2,Australia
0.06,24.1,25.6,44.7,13,0.68,1.3,7,26.18,1,Australia
0.09,20.2,25.6,54.1,13,0.8,1.1,21,22.1,-2,Australia
0.09,21,25.6,54.5,13,0.78,1.4,5,25.46,-1,Australia
0.15,22.9,25.6,48.6,13,0.76,1.2,6,24.94,-2,Australia
0.1,21.5,25.6,42.1,13,0.71,1.1,15,22.93,0,Australia
0.06,22.7,25.6,41.4,13,0.68,1.1,9,23.8,-1,Australia
0.07,22,25.6,40.4,13,0.87,1.1,6,24.44,-1,Australia
0.08,22.2,25.6,38.9,13,0.52,1.2,19,22.3,1,Australia
0.1,22,25.6,40.3,13,0.41,1.1,44,20.94,0,Australia
0.04,22.3,25.6,41.7,13,0.59,1.2,15,22.78,-1,Australia
0.09,22.6,25.6,38.6,13,0.57,1.1,16,22.83,1,Australia
0.1,22.6,25.6,38.1,13,0.46,1.1,29,21.8,2,Australia
0.08,22.7,25.6,40.7,13,0.78,1.1,6,24.51,-1,Australia
0.1,22.2,25.6,36.8,13,0.78,1.2,7,24.17,-1,Australia
0.11,23.5,25.6,36.8,13,0.77,1.2,5,25.26,1,Australia
0.1,20,25.6,44.8,13,0.74,1.3,13,22.98,0,Australia
0.09,22.3,25.6,30.1,13,0.85,1.2,7,26.79,0,Australia
0.03,20.6,25.6,42.3,13,0.58,1.1,42,20.86,0,Australia
0.05,21.2,25.6,42.5,13,0.71,1.1,19,22.49,0,Australia
0.04,21.9,25.6,39.6,13,0.71,1.2,9,23.74,2,Australia
0.15,20.2,25.6,44.4,13,0.49,1.1,73,19.67,0,Australia
0.09,22.5,25.6,39,13,0.43,1.1,32,21.6,2,Australia
0.12,20.8,25.6,42.1,13,0.41,1.3,39,20.85,0,Australia
0.08,24,25.6,34.7,13,0.57,1.1,8,23.84,0,Australia
0.06,24.2,25.6,34.2,13,1.01,1.3,17,28.82,0,Australia
0.08,23,25.6,36.2,13,0.86,1,7,24.27,0,Australia
0.1,21.2,25.6,45.5,13,0.68,1.1,17,22.71,-1,Australia
0.07,21.1,25.6,38.5,13,1.25,1.1,5,26.01,0,Australia
0.03,20.5,25.6,28.8,13,0.46,1,18,24.4,2,Australia
0.1,23.8,25.6,31.9,13,0.7,1.3,5,25.51,1,Australia
0.11,20.6,25.6,43,13,0.82,1.4,5,25.21,0,Australia
0.1,24.1,25.6,30.9,13,1.01,1.1,9,27.34,-1,Australia
0.07,21.4,25.6,40.1,13,0.92,1.3,5,25.36,0,Australia
0.09,24.9,25.6,40.4,13,0.95,1,7,26.56,0,Australia
0.11,19,25.6,44,13,0.85,1,57,20.28,0,Australia
0.05,22.8,25.6,36.3,13,0.43,1.4,7,23.58,0,Australia
0.12,21.5,25.6,37.6,13,0.43,1.3,27,21.76,0,Australia
0.04,25.4,25.6,25.8,13,0.46,1.3,27,28.25,2,Australia
0.08,22.8,25.6,34.2,13,0.46,1.3,14,22.67,1,Australia
0.11,24.9,25.6,31.1,13,0.71,1.2,6,26.05,2,Australia
0.04,22.7,25.6,31.9,13,0.43,1.1,36,21.34,2,Australia
0.12,21.8,25.6,34.4,13,0.66,1.1,25,22.25,1,Australia
0.06,22.2,25.6,47.8,13,0.61,1.3,8,23.69,0,Australia
0.06,22.3,25.6,45.5,13,0.38,1.4,11,22.83,1,Australia
0.08,22.3,25.6,47.2,13,0.71,1.3,5,24.62,0,Australia
0.06,25.2,25.6,38.7,13,1.01,1.3,24,29.73,0,Australia
0.09,21.7,25.6,37.9,13,0.95,1,11,23.55,0,Australia
0.08,25.8,25.6,38.5,13,0.57,1.1,5,25.14,0,Australia
0.1,21.2,25.6,49.4,13,0.58,1,53,20.71,0,Australia
0.07,25.1,25.6,38.1,13,0.71,1.2,8,26.47,2,Australia
0.1,20.9,25.6,47.6,13,0.58,1.1,35,21.22,0,Australia
0.08,22.2,25.6,47.1,13,0.85,1.2,5,25.01,0,Australia
0.11,22.2,25.6,47.3,13,0.76,1.7,10,28.09,2,Australia
0.14,23.4,25.6,36.9,13,0.82,1.1,6,25,-1,Australia
0.07,19.7,25.6,46.6,13,0.8,1.1,27,21.73,-2,Australia
0.09,22.3,25.6,41.1,13,0.8,1.1,8,23.9,0,Australia
0.09,22,25.6,40.9,13,0.68,1.2,10,23.51,0,Australia
0.11,22.1,25.6,40.8,13,0.83,1.1,8,24.1,-2,Australia
0.08,22.3,25.6,40.9,13,0.59,1.1,18,22.52,0,Australia
0.1,21.6,25.6,37.1,13,0.8,1.1,13,23.16,-1,Australia
0.08,22,25.6,31.4,13,0.43,1.1,46,20.85,2,Australia
0.09,23.8,25.6,34.8,13,0.73,1.2,5,25.18,0,Australia
0.12,20.9,25.6,42.3,13,0.73,1.3,10,23.68,-2,Australia
0.12,21.8,25.6,37.3,13,0.69,1.3,7,24.16,-1,Australia
0.06,21.7,25.6,39.8,13,0.94,1.3,6,26.56,0,Australia
0.08,21.7,25.6,39.8,13,0.71,1.2,9,23.77,0,Australia
0.1,22.5,25.6,39.3,13,0.8,1.3,6,26.61,1,Australia
0.15,22,25.6,33.8,13,0.91,1.4,5,26.29,0,Australia
0.08,23.8,25.6,32.7,13,0.55,1.3,5,24.42,1,Australia
0.12,18.6,25.6,42.9,13,0.5,1.2,74,18.91,0,Australia
0.11,22.6,25.6,26.4,13,0.53,1.4,7,23.93,1,Australia
0.1,22.6,25.6,26.4,13,0.46,1.3,11,22.93,2,Australia
0.07,24.8,25.6,28.7,13,0.71,1.3,13,27.45,0,Australia
0.09,24.9,25.6,28.2,13,0.46,1.3,5,24.93,0,Australia
0.07,19.6,25.6,39.7,13,0.64,1.4,14,22.45,-1,Australia
0.08,19.7,25.6,38.8,13,0.73,1.4,9,23.37,0,Australia
0.13,22.4,25.6,35.2,13,0.56,1.4,8,23.84,0,Australia
0.14,21.1,25.6,36.6,13,0.75,1.2,17,22.9,0,Australia
0.12,19.4,25.6,43.2,13,0.83,1.1,28,21.98,-1,Australia
0.08,19.6,25.6,40.7,13,0.78,1.2,16,22.88,-1,Australia
0.06,19.7,25.6,40.4,13,0.82,1.2,14,23.14,-1,Australia
0.07,22,25.6,35.7,13,0.68,1.1,15,22.94,1,Australia
0.1,18.4,25.6,44.2,13,0.91,1.2,21,22.05,0,Australia
0.07,22.8,25.6,33.8,13,0.55,1.1,19,22.51,0,Australia
0.08,19.1,25.6,40.3,13,0.8,1,52,20.38,-1,Australia
0.12,19.8,25.6,42,13,0.49,1.3,41,20.76,0,Australia
0.04,21,25.6,40.4,13,0.66,1.3,10,23.29,1,Australia
0.04,20.5,25.6,42.9,13,0.59,1.2,31,21.28,0,Australia
0.06,24.6,25.6,31.3,13,0.46,1,17,23.15,0,Australia
0.13,20.7,25.6,30.1,13,0.46,1.2,58,20.15,2,Australia
0.06,23.4,25.6,33.7,13,0.76,1.6,11,27.5,0,Australia
0.06,22.3,25.6,38,13,0.84,1.3,5,25.55,2,Australia
0.05,21.2,25.6,39.6,13,0.43,1.1,57,20.22,0,Australia
0.1,21.2,25.6,39.4,13,0.79,1.1,16,22.88,-1,Australia
0.08,20.6,25.6,40.6,13,0.59,1.1,40,20.99,0,Australia
0.06,21.6,25.6,40.7,13,0.77,1.1,13,23.11,-1,Australia
0.17,22.8,25.6,34.8,13,0.78,1.2,8,24.28,-1,Australia
0.05,18.8,25.6,53.2,13,0.68,1.4,15,22.36,-1,Australia
0.04,20.9,25.6,38.7,13,0.83,1.5,5,25.57,0,Australia
0.07,19.4,25.6,42.1,13,0.68,1.6,7,23.99,0,Australia
0.08,20.3,25.6,41.5,13,0.68,1.3,15,22.64,-2,Australia
0.09,20.4,25.6,41.5,13,1.04,1.1,8,24.28,-2,Australia
0.06,21.2,25.6,39.2,13,0.52,1.3,17,22.24,0,Australia
0.11,19.7,25.6,42.2,13,0.91,1.5,5,25.69,-2,Australia
0.03,19.8,25.6,42.3,13,0.41,1.1,84,18.65,0,Australia
0.11,22.2,25.6,36.4,13,0.76,1.7,9,27.51,0,Australia
0.08,19.6,25.6,41.9,13,0.68,1.3,21,21.98,-2,Australia
0.12,19.1,25.6,46.6,13,0.73,1.3,21,22.22,0,Australia
